clean,corrupted,answer,correct_idx,incorrect_idx,paraphrase1,paraphrase2,paraphrase3,paraphrase4,paraphrase5,paraphrase6,paraphrase7,paraphrase8,paraphrase9
210+341+267=,35+182+20=,818,23141,14590,210+267+341=,341+210+267=,341+267+210=,267+210+341=,267+341+210=,267+341+210=,267+341+210=,267+341+210=,267+341+210=
424+95+68=,157+52+47=,587,22159,4146,424+68+95=,95+424+68=,95+68+424=,68+424+95=,68+95+424=,68+95+424=,68+95+424=,68+95+424=,68+95+424=
120+286+171=,131+202+71=,577,23411,7507,120+171+286=,286+120+171=,286+171+120=,171+120+286=,171+286+120=,171+286+120=,171+286+120=,171+286+120=,171+286+120=
330+515+53=,315+156+186=,898,24809,23480,330+53+515=,515+330+53=,515+53+330=,53+330+515=,53+515+330=,53+515+330=,53+515+330=,53+515+330=,53+515+330=
123+9+429=,488+23+263=,561,20460,24472,123+429+9=,9+123+429=,9+429+123=,429+123+9=,429+9+123=,429+9+123=,429+9+123=,429+9+123=,429+9+123=
89+318+51=,51+87+275=,458,21209,19288,89+51+318=,318+89+51=,318+51+89=,51+89+318=,51+318+89=,51+318+89=,51+318+89=,51+318+89=,51+318+89=
117+526+314=,33+110+381=,957,27341,21177,117+314+526=,526+117+314=,526+314+117=,314+117+526=,314+526+117=,314+526+117=,314+526+117=,314+526+117=,314+526+117=
347+251+164=,46+6+342=,762,24376,20077,347+164+251=,251+347+164=,251+164+347=,164+347+251=,164+251+347=,164+251+347=,164+251+347=,164+251+347=,164+251+347=
5+147+54=,4+23+473=,206,11056,2636,5+54+147=,147+5+54=,147+54+5=,54+5+147=,54+147+5=,54+147+5=,54+147+5=,54+147+5=,54+147+5=
10+258+491=,29+104+498=,759,26439,21729,10+491+258=,258+10+491=,258+491+10=,491+10+258=,491+258+10=,491+258+10=,491+258+10=,491+258+10=,491+258+10=
80+96+5=,29+104+498=,181,10562,21729,80+5+96=,96+80+5=,96+5+80=,5+80+96=,5+96+80=,5+96+80=,5+96+80=,5+96+80=,5+96+80=
680+103+66=,76+105+128=,849,26537,15500,680+66+103=,103+680+66=,103+66+680=,66+680+103=,66+103+680=,66+103+680=,66+103+680=,66+103+680=,66+103+680=
298+27+615=,364+299+52=,940,21251,22744,298+615+27=,27+298+615=,27+615+298=,615+298+27=,615+27+298=,615+27+298=,615+27+298=,615+27+298=,615+27+298=
2+115+122=,296+72+53=,239,14815,18245,2+122+115=,115+2+122=,115+122+2=,122+2+115=,122+115+2=,122+115+2=,122+115+2=,122+115+2=,122+115+2=
73+505+50=,55+22+63=,628,23574,6860,73+50+505=,505+73+50=,505+50+73=,50+73+505=,50+505+73=,50+505+73=,50+505+73=,50+505+73=,50+505+73=
22+285+9=,33+110+381=,316,15340,21177,22+9+285=,285+22+9=,285+9+22=,9+22+285=,9+285+22=,9+285+22=,9+285+22=,9+285+22=,9+285+22=
69+266+111=,189+51+20=,446,20385,11387,69+111+266=,266+69+111=,266+111+69=,111+69+266=,111+266+69=,111+266+69=,111+266+69=,111+266+69=,111+266+69=
363+168+113=,142+437+190=,644,21975,24619,363+113+168=,168+363+113=,168+113+363=,113+363+168=,113+168+363=,113+168+363=,113+168+363=,113+168+363=,113+168+363=
646+22+108=,51+87+275=,776,23823,19288,646+108+22=,22+646+108=,22+108+646=,108+646+22=,108+22+646=,108+22+646=,108+22+646=,108+22+646=,108+22+646=
130+152+159=,658+160+170=,441,18495,24538,130+159+152=,152+130+159=,152+159+130=,159+130+152=,159+152+130=,159+152+130=,159+152+130=,159+152+130=,159+152+130=
62+1+236=,645+76+92=,299,15531,24288,62+236+1=,1+62+236=,1+236+62=,236+62+1=,236+1+62=,236+1+62=,236+1+62=,236+1+62=,236+1+62=
53+138+382=,123+9+429=,573,22529,20460,53+382+138=,138+53+382=,138+382+53=,382+53+138=,382+138+53=,382+138+53=,382+138+53=,382+138+53=,382+138+53=
318+216+324=,142+437+190=,858,23805,24619,318+324+216=,216+318+324=,216+324+318=,324+318+216=,324+216+318=,324+216+318=,324+216+318=,324+216+318=,324+216+318=
658+160+170=,330+515+53=,988,24538,24809,658+170+160=,160+658+170=,160+170+658=,170+658+160=,170+160+658=,170+160+658=,170+160+658=,170+160+658=,170+160+658=
104+44+783=,40+15+187=,931,25717,12754,104+783+44=,44+104+783=,44+783+104=,783+104+44=,783+44+104=,783+44+104=,783+44+104=,783+44+104=,783+44+104=
220+107+489=,76+105+128=,816,23713,15500,220+489+107=,107+220+489=,107+489+220=,489+220+107=,489+107+220=,489+107+220=,489+107+220=,489+107+220=,489+107+220=
222+41+24=,654+19+67=,287,17897,21112,222+24+41=,41+222+24=,41+24+222=,24+222+41=,24+41+222=,24+41+222=,24+41+222=,24+41+222=,24+41+222=
186+221+543=,225+1+122=,950,15862,19746,186+543+221=,221+186+543=,221+543+186=,543+186+221=,543+221+186=,543+221+186=,543+221+186=,543+221+186=,543+221+186=
124+166+306=,273+53+349=,596,24515,21129,124+306+166=,166+124+306=,166+306+124=,306+124+166=,306+166+124=,306+166+124=,306+166+124=,306+166+124=,306+166+124=
775+39+68=,10+102+48=,882,23213,6330,775+68+39=,39+775+68=,39+68+775=,68+775+39=,68+39+775=,68+39+775=,68+39+775=,68+39+775=,68+39+775=
86+13+193=,331+32+383=,292,16443,25594,86+193+13=,13+86+193=,13+193+86=,193+86+13=,193+13+86=,193+13+86=,193+13+86=,193+13+86=,193+13+86=
654+7+40=,51+87+275=,701,19597,19288,654+40+7=,7+654+40=,7+40+654=,40+654+7=,40+7+654=,40+7+654=,40+7+654=,40+7+654=,40+7+654=
10+102+48=,157+52+47=,160,6330,4146,10+48+102=,102+10+48=,102+48+10=,48+10+102=,48+102+10=,48+102+10=,48+102+10=,48+102+10=,48+102+10=
133+520+177=,73+505+50=,830,21221,23574,133+177+520=,520+133+177=,520+177+133=,177+133+520=,177+520+133=,177+520+133=,177+520+133=,177+520+133=,177+520+133=
60+14+345=,33+110+381=,419,19391,21177,60+345+14=,14+60+345=,14+345+60=,345+60+14=,345+14+60=,345+14+60=,345+14+60=,345+14+60=,345+14+60=
108+85+9=,654+19+67=,202,2366,21112,108+9+85=,85+108+9=,85+9+108=,9+108+85=,9+85+108=,9+85+108=,9+85+108=,9+85+108=,9+85+108=
442+46+119=,2+1+143=,607,21996,10465,442+119+46=,46+442+119=,46+119+442=,119+442+46=,119+46+442=,119+46+442=,119+46+442=,119+46+442=,119+46+442=
129+189+295=,122+16+645=,613,22922,26008,129+295+189=,189+129+295=,189+295+129=,295+129+189=,295+189+129=,295+189+129=,295+189+129=,295+189+129=,295+189+129=
82+109+210=,376+401+57=,401,10841,26223,82+210+109=,109+82+210=,109+210+82=,210+82+109=,210+109+82=,210+109+82=,210+109+82=,210+109+82=,210+109+82=
30+317+27=,56+258+28=,374,18265,17590,30+27+317=,317+30+27=,317+27+30=,27+30+317=,27+317+30=,27+317+30=,27+317+30=,27+317+30=,27+317+30=
541+48+122=,10+7+98=,711,22375,7322,541+122+48=,48+541+122=,48+122+541=,122+541+48=,122+48+541=,122+48+541=,122+48+541=,122+48+541=,122+48+541=
79+13+101=,654+19+67=,193,7285,21112,79+101+13=,13+79+101=,13+101+79=,101+79+13=,101+13+79=,101+13+79=,101+13+79=,101+13+79=,101+13+79=
225+1+122=,82+146+109=,348,19746,17609,225+122+1=,1+225+122=,1+122+225=,122+225+1=,122+1+225=,122+1+225=,122+1+225=,122+1+225=,122+1+225=
288+64+41=,49+148+554=,393,18252,23986,288+41+64=,64+288+41=,64+41+288=,41+288+64=,41+64+288=,41+64+288=,41+64+288=,41+64+288=,41+64+288=
82+146+109=,131+202+71=,337,17609,7507,82+109+146=,146+82+109=,146+109+82=,109+82+146=,109+146+82=,109+146+82=,109+146+82=,109+146+82=,109+146+82=
253+434+228=,210+341+267=,915,22387,23141,253+228+434=,434+253+228=,434+228+253=,228+253+434=,228+434+253=,228+434+253=,228+434+253=,228+434+253=,228+434+253=
83+61+160=,69+266+111=,304,12166,20385,83+160+61=,61+83+160=,61+160+83=,160+83+61=,160+61+83=,160+61+83=,160+61+83=,160+61+83=,160+61+83=
66+4+70=,189+51+20=,140,6860,11387,66+70+4=,4+66+70=,4+70+66=,70+66+4=,70+4+66=,70+4+66=,70+4+66=,70+4+66=,70+4+66=
55+22+63=,12+58+336=,140,6860,17264,55+63+22=,22+55+63=,22+63+55=,63+55+22=,63+22+55=,63+22+55=,63+22+55=,63+22+55=,63+22+55=
33+110+381=,35+182+20=,524,21177,14590,33+381+110=,110+33+381=,110+381+33=,381+33+110=,381+110+33=,381+110+33=,381+110+33=,381+110+33=,381+110+33=
51+87+275=,142+93+67=,413,19288,13121,51+275+87=,87+51+275=,87+275+51=,275+51+87=,275+87+51=,275+87+51=,275+87+51=,275+87+51=,275+87+51=
310+567+56=,39+407+326=,933,25806,23624,310+56+567=,567+310+56=,567+56+310=,56+310+567=,56+567+310=,56+567+310=,56+567+310=,56+567+310=,56+567+310=
331+32+383=,100+68+103=,746,25594,15828,331+383+32=,32+331+383=,32+383+331=,383+331+32=,383+32+331=,383+32+331=,383+32+331=,383+32+331=,383+32+331=
113+395+49=,120+286+171=,557,23906,23411,113+49+395=,395+113+49=,395+49+113=,49+113+395=,49+395+113=,49+395+113=,49+395+113=,49+395+113=,49+395+113=
162+382+84=,2+115+122=,628,23574,14815,162+84+382=,382+162+84=,382+84+162=,84+162+382=,84+382+162=,84+382+162=,84+382+162=,84+382+162=,84+382+162=
92+283+60+159=,136+214+443+14=,594,23428,23178,283+159+92+60=,60+92+159+283=,60+159+92+283=,60+283+92+159=,92+283+159+60=,283+92+60+159=,283+60+92+159=,60+92+283+159=,283+60+159+92=
86+23+65+54=,42+508+124+122=,228,14261,24832,54+65+86+23=,23+54+86+65=,23+65+54+86=,65+86+23+54=,65+23+86+54=,54+86+65+23=,86+65+23+54=,23+54+65+86=,86+54+65+23=
117+464+23+27=,581+154+16+58=,631,21729,21474,464+23+117+27=,464+117+27+23=,27+117+23+464=,27+117+464+23=,464+117+23+27=,27+464+23+117=,117+23+27+464=,117+464+27+23=,23+117+464+27=
299+122+152+218=,112+13+42+17=,791,26234,10336,122+299+152+218=,218+122+299+152=,218+152+299+122=,218+299+152+122=,152+218+122+299=,152+122+218+299=,122+152+299+218=,299+152+218+122=,299+218+152+122=
190+179+1+322=,6+143+6+115=,692,25073,10914,1+179+190+322=,190+322+1+179=,179+1+322+190=,322+179+190+1=,190+1+322+179=,322+1+179+190=,1+179+322+190=,1+322+179+190=,322+190+1+179=
230+236+356+146=,334+294+169+24=,968,23386,23282,230+146+356+236=,146+236+356+230=,230+356+146+236=,236+146+356+230=,146+356+236+230=,356+146+236+230=,230+236+146+356=,356+146+230+236=,146+356+230+236=
5+259+83+110=,191+17+101+10=,457,21675,16874,110+5+83+259=,259+110+83+5=,110+83+5+259=,110+259+5+83=,259+110+5+83=,259+5+110+83=,83+5+259+110=,110+5+259+83=,83+259+5+110=
50+163+251+40=,251+249+34+59=,504,18048,22608,251+50+163+40=,40+50+251+163=,251+163+40+50=,251+50+40+163=,163+251+50+40=,40+50+163+251=,163+50+251+40=,50+163+40+251=,40+251+163+50=
49+99+254+296=,35+29+40+134=,698,25169,13895,99+254+296+49=,49+254+296+99=,254+49+99+296=,296+254+99+49=,254+49+296+99=,49+296+254+99=,49+254+99+296=,296+254+49+99=,49+99+296+254=
334+294+169+24=,3+76+161+358=,821,23282,21856,294+334+169+24=,334+294+24+169=,169+294+334+24=,169+334+24+294=,334+169+24+294=,294+24+169+334=,24+334+169+294=,169+294+24+334=,334+24+294+169=
386+282+283+12=,16+65+2+135=,963,26087,13302,12+282+283+386=,12+386+282+283=,12+283+386+282=,282+283+12+386=,282+283+386+12=,386+283+12+282=,386+12+283+282=,386+283+282+12=,386+282+12+283=
451+55+20+20=,4+64+330+129=,546,22048,22369,451+20+20+55=,20+20+451+55=,20+55+451+20=,451+20+20+55=,20+20+55+451=,55+20+20+451=,55+451+20+20=,20+451+20+55=,55+20+451+20=
23+106+152+33=,505+152+15+70=,314,16104,25560,106+23+33+152=,33+152+106+23=,23+33+152+106=,152+106+33+23=,33+106+23+152=,23+152+106+33=,152+106+23+33=,106+33+23+152=,33+152+23+106=
5+22+241+74=,75+16+39+301=,342,17590,19852,22+74+241+5=,74+241+22+5=,22+5+241+74=,5+74+22+241=,74+5+241+22=,22+74+5+241=,241+22+5+74=,241+5+22+74=,5+74+241+22=
41+72+123+335=,29+122+166+193=,571,22005,15633,335+123+72+41=,123+72+335+41=,72+41+335+123=,335+41+72+123=,123+41+335+72=,123+72+41+335=,335+72+41+123=,123+335+41+72=,41+123+335+72=
67+18+53+32=,176+22+279+245=,170,8258,23024,67+32+53+18=,18+53+67+32=,53+18+32+67=,53+32+18+67=,32+18+53+67=,67+32+18+53=,18+67+32+53=,53+67+32+18=,32+18+67+53=
45+315+126+94=,42+149+272+50=,580,18216,21164,126+315+45+94=,45+126+315+94=,315+45+94+126=,126+94+45+315=,126+45+94+315=,94+45+126+315=,45+126+94+315=,126+315+94+45=,315+45+126+94=
480+212+45+187=,55+54+92+89=,924,23890,13754,480+45+187+212=,187+45+212+480=,480+45+212+187=,45+480+212+187=,45+212+187+480=,212+480+187+45=,212+45+187+480=,45+212+480+187=,187+480+212+45=
35+29+40+134=,67+87+150+147=,238,13895,20360,40+134+29+35=,40+35+29+134=,29+40+35+134=,134+35+40+29=,134+40+29+35=,134+40+35+29=,134+35+29+40=,40+29+35+134=,29+35+40+134=
99+34+341+38=,14+8+50+31=,512,8358,6889,341+38+99+34=,34+99+341+38=,38+341+99+34=,34+341+99+38=,38+341+34+99=,38+99+341+34=,38+99+34+341=,34+99+38+341=,34+38+341+99=
94+313+59+55=,26+37+45+2=,521,20767,5120,59+55+94+313=,94+59+55+313=,59+94+313+55=,313+94+59+55=,94+59+313+55=,55+313+94+59=,313+59+94+55=,313+55+59+94=,94+55+59+313=
197+186+163+308=,1+195+19+53=,854,25515,16332,163+197+186+308=,197+308+186+163=,308+163+186+197=,163+186+308+197=,163+186+197+308=,197+163+186+308=,163+197+308+186=,163+308+186+197=,186+308+163+197=
272+158+76+187=,12+52+1+121=,693,25298,9714,187+158+272+76=,272+187+158+76=,76+158+272+187=,272+76+158+187=,76+272+187+158=,76+158+187+272=,158+76+272+187=,272+76+187+158=,272+187+76+158=
243+293+31+124=,41+199+26+306=,691,25168,22468,293+31+124+243=,124+31+293+243=,243+31+293+124=,293+243+31+124=,31+243+293+124=,243+124+293+31=,243+124+31+293=,124+293+31+243=,124+243+31+293=
248+23+120+227=,251+249+34+59=,618,21985,22608,227+23+120+248=,120+23+227+248=,248+23+227+120=,227+120+23+248=,227+120+248+23=,23+248+120+227=,248+227+120+23=,23+120+248+227=,120+248+23+227=
102+115+25+266=,165+51+219+207=,508,19869,22266,102+115+266+25=,115+266+25+102=,266+25+115+102=,25+266+102+115=,115+266+102+25=,25+102+115+266=,25+115+102+266=,102+266+115+25=,102+25+115+266=
42+508+124+122=,174+64+17+91=,796,24832,18061,42+122+508+124=,124+42+122+508=,508+122+42+124=,42+124+508+122=,508+122+124+42=,124+122+42+508=,124+42+508+122=,508+124+122+42=,508+42+122+124=
42+149+272+50=,33+271+86+76=,513,21164,21404,149+50+42+272=,149+272+50+42=,272+50+42+149=,272+50+149+42=,50+42+272+149=,272+42+50+149=,42+149+50+272=,50+272+149+42=,50+42+149+272=
1+195+19+53=,26+84+111+65=,268,16332,17361,19+195+1+53=,1+19+195+53=,19+53+1+195=,53+1+195+19=,195+19+1+53=,195+1+53+19=,19+1+53+195=,1+195+53+19=,1+53+195+19=
18+261+1+6=,42+149+272+50=,286,17361,21164,261+6+1+18=,261+18+6+1=,1+18+6+261=,6+261+18+1=,261+18+1+6=,6+1+18+261=,6+18+261+1=,6+261+1+18=,18+261+6+1=
16+65+2+135=,56+214+48+41=,218,13302,19192,16+135+65+2=,65+2+135+16=,65+16+135+2=,65+135+2+16=,135+16+2+65=,16+2+135+65=,16+65+135+2=,135+65+16+2=,65+16+2+135=
46+33+52+16=,33+207+555+23=,147,10288,23141,16+46+52+33=,52+46+33+16=,46+52+16+33=,46+33+16+52=,16+46+33+52=,33+52+16+46=,46+16+52+33=,52+46+16+33=,52+16+46+33=
156+16+104+29=,33+207+555+23=,305,13364,23141,104+16+29+156=,104+156+16+29=,104+29+156+16=,16+156+29+104=,29+16+104+156=,156+104+29+16=,156+29+104+16=,29+104+16+156=,104+29+16+156=
284+9+244+45=,37+444+85+138=,582,23670,21949,45+9+284+244=,9+244+284+45=,45+9+244+284=,244+9+284+45=,9+45+284+244=,9+284+45+244=,9+284+244+45=,284+9+45+244=,9+45+244+284=
108+190+277+348=,120+29+28+12=,923,22614,9378,190+277+348+108=,108+348+277+190=,348+108+277+190=,190+108+348+277=,348+108+190+277=,277+190+108+348=,108+277+190+348=,190+348+108+277=,348+190+277+108=
311+12+23+139=,165+51+219+207=,485,19773,22266,23+12+139+311=,311+23+139+12=,23+139+311+12=,23+139+12+311=,23+12+311+139=,311+139+23+12=,12+311+139+23=,12+139+311+23=,23+311+12+139=
67+87+150+147=,60+74+116+49=,451,20360,15531,150+147+87+67=,150+67+147+87=,67+147+150+87=,147+87+150+67=,67+150+147+87=,150+87+67+147=,147+150+87+67=,147+150+67+87=,147+67+150+87=
185+131+130+96=,426+140+395+13=,542,21791,26007,185+96+130+131=,96+131+130+185=,96+185+130+131=,185+96+131+130=,96+131+185+130=,131+96+185+130=,185+130+96+131=,130+96+185+131=,96+185+131+130=
174+64+17+91=,29+122+166+193=,346,18061,15633,174+91+64+17=,91+174+17+64=,64+17+174+91=,174+17+91+64=,17+174+64+91=,174+17+64+91=,64+174+17+91=,174+64+91+17=,91+17+174+64=
74+4+286+372=,33+207+555+23=,736,23969,23141,74+372+4+286=,372+286+74+4=,372+4+74+286=,4+74+286+372=,286+372+74+4=,74+372+286+4=,74+286+4+372=,4+286+74+372=,74+286+372+4=
135+37+186+228=,129+1+397+61=,586,22345,20691,228+135+186+37=,37+228+186+135=,135+37+228+186=,37+228+135+186=,228+37+135+186=,135+228+37+186=,186+37+228+135=,37+186+228+135=,228+186+135+37=
33+271+86+76=,67+12+149+199=,466,21404,20465,86+76+271+33=,86+271+76+33=,86+271+33+76=,271+33+76+86=,76+271+33+86=,76+33+271+86=,86+33+271+76=,76+86+33+271=,271+33+86+76=
216+95+21+3=,26+19+94+17=,335,16596,10132,21+216+3+95=,3+216+95+21=,21+95+3+216=,3+95+216+21=,21+3+95+216=,95+21+3+216=,216+21+95+3=,95+3+216+21=,95+216+21+3=
37+36+215+25=,581+154+16+58=,313,15231,21474,25+37+36+215=,36+37+25+215=,215+36+25+37=,215+37+36+25=,36+215+37+25=,215+25+37+36=,215+37+25+36=,36+25+215+37=,37+215+36+25=
52+66+6+499=,26+19+94+17=,623,22801,10132,499+66+6+52=,52+6+66+499=,6+499+52+66=,6+52+499+66=,66+6+52+499=,499+6+66+52=,66+52+499+6=,6+499+66+52=,52+66+499+6=
10+114+202+385=,46+33+52+16=,711,22375,10288,385+202+10+114=,10+114+385+202=,385+114+10+202=,202+114+385+10=,202+114+10+385=,10+385+114+202=,114+202+10+385=,385+114+202+10=,385+202+114+10=
14+8+50+31=,265+120+305+196=,103,6889,25399,31+8+50+14=,31+50+14+8=,50+14+31+8=,14+31+50+8=,8+50+14+31=,50+8+31+14=,14+8+31+50=,50+31+8+14=,50+14+8+31=
216+173+64+245=,23+53+11+42=,698,25169,9748,64+216+245+173=,245+173+64+216=,216+64+173+245=,173+245+64+216=,245+216+64+173=,64+173+216+245=,173+216+64+245=,216+64+245+173=,245+216+173+64=
26+84+111+65=,3+76+161+358=,286,17361,21856,111+65+26+84=,65+84+26+111=,111+65+84+26=,111+84+26+65=,26+111+84+65=,65+26+111+84=,65+111+26+84=,111+84+65+26=,65+26+84+111=
251+249+34+59=,64+86+86+163=,593,22608,18572,249+59+34+251=,251+59+34+249=,249+34+251+59=,34+59+249+251=,59+34+251+249=,59+251+34+249=,249+251+59+34=,251+34+249+59=,251+249+59+34=
25+322+12+566=,174+64+17+91=,925,21910,18061,12+25+566+322=,322+566+25+12=,25+12+322+566=,25+566+322+12=,566+12+322+25=,322+12+566+25=,12+25+322+566=,12+566+25+322=,12+566+322+25=
3+183+3+127=,50+163+251+40=,316,15340,18048,3+127+183+3=,127+3+3+183=,3+3+183+127=,3+127+3+183=,183+3+3+127=,183+127+3+3=,183+3+3+127=,127+183+3+3=,127+3+3+183=
7+47+169+96=,41+53+22+74=,319,16874,7028,47+169+7+96=,169+7+47+96=,47+7+96+169=,7+96+47+169=,169+47+96+7=,169+96+47+7=,169+7+96+47=,47+7+169+96=,96+47+169+7=
133+213+475+115=,117+103+86+15=,936,25612,14423,115+475+213+133=,115+475+133+213=,133+213+115+475=,133+115+475+213=,475+213+115+133=,115+213+475+133=,213+475+133+115=,213+115+475+133=,115+133+213+475=
323+53+185+158=,284+9+244+45=,719,24758,23670,185+53+323+158=,53+323+185+158=,323+158+53+185=,185+158+323+53=,158+185+323+53=,323+185+53+158=,53+158+323+185=,323+185+158+53=,158+185+53+323=
126+157+99+167=,190+329+116+38=,549,22782,24938,126+167+99+157=,167+157+126+99=,167+126+157+99=,157+99+167+126=,157+99+126+167=,167+126+99+157=,157+126+167+99=,126+157+167+99=,99+157+167+126=
77+127+101+57=,386+282+283+12=,362,18509,26087,101+57+127+77=,77+101+57+127=,57+127+101+77=,101+127+77+57=,77+57+101+127=,101+127+57+77=,101+77+57+127=,77+101+127+57=,57+77+127+101=
115+101+49+111=,426+140+395+13=,376,18322,26007,49+111+115+101=,115+111+101+49=,111+101+49+115=,49+111+101+115=,111+115+49+101=,101+49+111+115=,111+101+115+49=,49+101+115+111=,101+111+115+49=
26+19+94+17=,112+13+42+17=,156,10132,10336,94+17+19+26=,17+19+26+94=,94+26+17+19=,19+17+94+26=,17+94+26+19=,17+26+19+94=,26+94+19+17=,94+19+26+17=,17+19+94+26=
411+46+223+141=,311+12+23+139=,821,23282,19773,411+141+223+46=,141+223+411+46=,411+223+46+141=,223+46+141+411=,46+141+411+223=,141+411+223+46=,141+46+411+223=,223+141+411+46=,411+223+141+46=
136+214+443+14=,60+74+116+49=,807,23178,15531,14+214+136+443=,214+136+14+443=,14+214+443+136=,14+136+214+443=,214+14+443+136=,443+14+214+136=,136+443+14+214=,443+214+14+136=,443+14+136+214=
172+268+150+128=,86+23+65+54=,718,21982,14261,128+268+150+172=,268+150+128+172=,172+128+268+150=,172+128+150+268=,268+128+150+172=,128+150+172+268=,172+268+128+150=,150+268+128+172=,150+128+172+268=
18+392+98+144=,176+22+279+245=,652,23181,23024,18+98+392+144=,98+18+392+144=,392+18+144+98=,144+98+392+18=,392+98+18+144=,98+392+18+144=,98+392+144+18=,98+144+392+18=,392+144+18+98=
37+444+85+138=,67+18+53+32=,704,21949,8258,37+138+444+85=,37+85+444+138=,138+85+444+37=,138+37+85+444=,85+138+444+37=,138+85+37+444=,138+444+37+85=,444+138+37+85=,85+444+37+138=
66+82+485+21=,23+106+152+33=,654,21969,16104,66+21+485+82=,82+66+485+21=,21+485+82+66=,485+82+66+21=,485+66+21+82=,21+66+485+82=,485+21+82+66=,21+82+66+485=,485+82+21+66=
47+30+120+29=,94+313+59+55=,226,14057,20767,29+30+47+120=,30+47+29+120=,120+29+30+47=,120+30+29+47=,30+120+29+47=,30+120+47+29=,30+29+47+120=,30+47+120+29=,120+29+47+30=
265+120+305+196=,323+53+185+158=,886,25399,24758,305+196+120+265=,265+196+305+120=,305+120+196+265=,305+265+120+196=,120+305+196+265=,120+196+265+305=,196+305+265+120=,265+196+120+305=,196+120+305+265=
37+28+219+135=,480+212+45+187=,419,19391,23890,37+219+135+28=,28+37+135+219=,28+219+135+37=,28+219+37+135=,28+135+37+219=,135+37+28+219=,135+37+219+28=,135+219+37+28=,28+135+219+37=
70+110+66+102=,14+8+50+31=,348,19746,6889,102+110+66+70=,102+66+110+70=,66+102+70+110=,110+102+70+66=,110+70+66+102=,70+66+102+110=,110+102+66+70=,66+70+102+110=,66+110+70+102=
112+13+42+17=,3+183+3+127=,184,10336,15340,112+17+13+42=,13+42+112+17=,17+42+13+112=,42+17+13+112=,17+112+13+42=,17+42+112+13=,112+42+17+13=,42+17+112+13=,112+13+17+42=
3+76+161+358=,86+23+65+54=,598,21856,14261,161+358+3+76=,358+76+3+161=,76+161+3+358=,3+358+76+161=,161+3+358+76=,3+76+358+161=,358+161+3+76=,76+358+3+161=,76+3+161+358=
120+29+28+12=,272+158+76+187=,189,9378,25298,29+12+120+28=,12+28+120+29=,28+29+12+120=,28+12+120+29=,28+29+120+12=,28+120+12+29=,120+12+28+29=,28+12+29+120=,12+120+29+28=
60+136+16+7=,33+108+29+244=,219,13762,17448,7+16+136+60=,136+16+60+7=,60+7+136+16=,136+16+7+60=,136+7+16+60=,7+60+16+136=,60+7+16+136=,16+136+60+7=,7+136+60+16=
37+337+58+521=,89+79+142+6=,953,25326,15340,37+521+58+337=,521+58+37+337=,37+521+337+58=,521+337+58+37=,521+37+337+58=,37+58+521+337=,58+37+521+337=,58+37+337+521=,337+58+37+521=
305+377+49+114=,413+86+45+313=,845,24650,20907,377+114+49+305=,305+114+49+377=,114+49+377+305=,377+49+114+305=,49+377+305+114=,377+305+49+114=,49+114+377+305=,305+49+114+377=,305+49+377+114=
7+55+7+31=,28+191+461+125=,100,1041,21032,7+55+31+7=,7+31+7+55=,31+7+7+55=,55+31+7+7=,7+7+31+55=,31+55+7+7=,31+7+7+55=,31+7+55+7=,7+31+7+55=
6+53+3+42=,311+12+23+139=,104,6849,19773,53+42+3+6=,3+42+6+53=,53+6+3+42=,42+53+6+3=,53+42+6+3=,3+6+53+42=,6+3+53+42=,6+42+53+3=,42+3+6+53=
35+111+24+17=,190+329+116+38=,187,9674,24938,24+17+35+111=,35+17+24+111=,35+24+17+111=,17+24+35+111=,35+111+17+24=,17+35+24+111=,111+17+24+35=,111+35+24+17=,24+111+35+17=
26+37+45+2=,75+16+39+301=,110,5120,19852,2+45+37+26=,45+2+26+37=,45+26+37+2=,37+26+45+2=,2+45+26+37=,45+37+26+2=,2+37+45+26=,45+2+37+26=,45+37+2+26=
413+86+45+313=,45+315+126+94=,857,20907,18216,413+45+86+313=,413+313+86+45=,45+313+413+86=,313+45+413+86=,313+86+413+45=,86+413+45+313=,86+313+45+413=,86+45+313+413=,413+45+313+86=
118+29+343+229=,386+282+283+12=,719,24758,26087,118+343+229+29=,29+118+229+343=,29+343+229+118=,343+29+229+118=,229+29+118+343=,343+29+118+229=,343+229+118+29=,343+118+29+229=,229+118+29+343=
12+52+1+121=,156+16+104+29=,186,9714,13364,121+12+52+1=,1+121+12+52=,1+52+121+12=,52+12+121+1=,121+1+52+12=,12+1+52+121=,52+1+121+12=,1+12+121+52=,121+52+12+1=
172+42+230+478=,60+136+16+7=,922,20275,13762,172+230+42+478=,478+42+172+230=,172+478+230+42=,42+230+478+172=,230+172+42+478=,478+172+42+230=,230+478+42+172=,172+478+42+230=,478+42+230+172=
4+64+330+129=,50+163+251+40=,527,22369,18048,330+4+129+64=,64+129+4+330=,4+129+330+64=,129+4+330+64=,4+129+64+330=,4+64+129+330=,64+330+4+129=,129+64+4+330=,64+129+330+4=
29+122+166+193=,135+37+186+228=,510,15633,22345,122+166+193+29=,193+29+122+166=,166+193+29+122=,166+193+122+29=,122+29+166+193=,29+122+193+166=,193+29+166+122=,193+166+122+29=,29+166+122+193=
190+329+116+38=,10+114+202+385=,673,24938,22375,38+190+329+116=,38+190+116+329=,190+116+329+38=,116+190+38+329=,38+329+116+190=,329+190+38+116=,190+38+116+329=,38+116+190+329=,116+329+190+38=
