clean,corrupted,answer,correct_idx,incorrect_idx,paraphrase1,paraphrase2,paraphrase3,paraphrase4,paraphrase5,paraphrase6,paraphrase7,paraphrase8,paraphrase9
103*2*2=,2*14*16=,412,17574,19956,103*2*2=,2*103*2=,2*2*103=,2*103*2=,2*2*103=,2*2*103=,2*2*103=,2*2*103=,2*2*103=
2*3*104=,2*3*133=,624,23000,26519,2*104*3=,3*2*104=,3*104*2=,104*2*3=,104*3*2=,104*3*2=,104*3*2=,104*3*2=,104*3*2=
79*2*3=,2*3*129=,474,21358,24472,79*3*2=,2*79*3=,2*3*79=,3*79*2=,3*2*79=,3*2*79=,3*2*79=,3*2*79=,3*2*79=
3*10*4=,13*2*5=,120,4364,5894,3*4*10=,10*3*4=,10*4*3=,4*3*10=,4*10*3=,4*10*3=,4*10*3=,4*10*3=,4*10*3=
2*2*169=,2*8*24=,676,24187,12910,2*169*2=,2*2*169=,2*169*2=,169*2*2=,169*2*2=,169*2*2=,169*2*2=,169*2*2=,169*2*2=
3*15*4=,3*3*90=,180,5245,19232,3*4*15=,15*3*4=,15*4*3=,4*3*15=,4*15*3=,4*15*3=,4*15*3=,4*15*3=,4*15*3=
7*15*4=,2*38*8=,420,12819,19944,7*4*15=,15*7*4=,15*4*7=,4*7*15=,4*15*7=,4*15*7=,4*15*7=,4*15*7=,4*15*7=
3*3*28=,2*3*66=,252,12326,19615,3*28*3=,3*3*28=,3*28*3=,28*3*3=,28*3*3=,28*3*3=,28*3*3=,28*3*3=,28*3*3=
2*3*86=,13*19*4=,516,20571,24538,2*86*3=,3*2*86=,3*86*2=,86*2*3=,86*3*2=,86*3*2=,86*3*2=,86*3*2=,86*3*2=
13*2*5=,2*19*3=,130,5894,8011,13*5*2=,2*13*5=,2*5*13=,5*13*2=,5*2*13=,5*2*13=,5*2*13=,5*2*13=,5*2*13=
7*3*33=,2*3*104=,693,25298,23000,7*33*3=,3*7*33=,3*33*7=,33*7*3=,33*3*7=,33*3*7=,33*3*7=,33*3*7=,33*3*7=
2*5*94=,2*3*104=,940,21251,23000,2*94*5=,5*2*94=,5*94*2=,94*2*5=,94*5*2=,94*5*2=,94*5*2=,94*5*2=,94*5*2=
73*2*3=,2*10*27=,438,20596,17048,73*3*2=,2*73*3=,2*3*73=,3*73*2=,3*2*73=,3*2*73=,3*2*73=,3*2*73=,3*2*73=
11*11*8=,13*19*4=,968,23386,24538,11*8*11=,11*11*8=,11*8*11=,8*11*11=,8*11*11=,8*11*11=,8*11*11=,8*11*11=,8*11*11=
2*61*4=,3*9*22=,488,21310,23428,2*4*61=,61*2*4=,61*4*2=,4*2*61=,4*61*2=,4*61*2=,4*61*2=,4*61*2=,4*61*2=
2*14*20=,23*5*8=,560,17698,18485,2*20*14=,14*2*20=,14*20*2=,20*2*14=,20*14*2=,20*14*2=,20*14*2=,20*14*2=,20*14*2=
3*30*8=,2*3*86=,720,13104,20571,3*8*30=,30*3*8=,30*8*3=,8*3*30=,8*30*3=,8*30*3=,8*30*3=,8*30*3=,8*30*3=
2*14*16=,2*3*64=,448,19956,12910,2*16*14=,14*2*16=,14*16*2=,16*2*14=,16*14*2=,16*14*2=,16*14*2=,16*14*2=,16*14*2=
2*30*8=,13*15*4=,480,11738,19423,2*8*30=,30*2*8=,30*8*2=,8*2*30=,8*30*2=,8*30*2=,8*30*2=,8*30*2=,8*30*2=
2*46*8=,2*5*94=,736,23969,21251,2*8*46=,46*2*8=,46*8*2=,8*2*46=,8*46*2=,8*46*2=,8*46*2=,8*46*2=,8*46*2=
3*3*90=,7*2*31=,810,19232,20165,3*90*3=,3*3*90=,3*90*3=,90*3*3=,90*3*3=,90*3*3=,90*3*3=,90*3*3=,90*3*3=
23*5*8=,2*3*26=,920,18485,10132,23*8*5=,5*23*8=,5*8*23=,8*23*5=,8*5*23=,8*5*23=,8*5*23=,8*5*23=,8*5*23=
2*2*34=,2*3*98=,136,9795,20691,2*34*2=,2*2*34=,2*34*2=,34*2*2=,34*2*2=,34*2*2=,34*2*2=,34*2*2=,34*2*2=
3*4*66=,7*3*33=,792,24763,25298,3*66*4=,4*3*66=,4*66*3=,66*3*4=,66*4*3=,66*4*3=,66*4*3=,66*4*3=,66*4*3=
2*10*48=,3*15*4=,960,16415,5245,2*48*10=,10*2*48=,10*48*2=,48*2*10=,48*10*2=,48*10*2=,48*10*2=,48*10*2=,48*10*2=
2*3*133=,2*5*39=,798,26519,15515,2*133*3=,3*2*133=,3*133*2=,133*2*3=,133*3*2=,133*3*2=,133*3*2=,133*3*2=,133*3*2=
2*3*66=,7*2*38=,396,19615,20711,2*66*3=,3*2*66=,3*66*2=,66*2*3=,66*3*2=,66*3*2=,66*3*2=,66*3*2=,66*3*2=
29*2*4=,2*46*8=,232,12338,23969,29*4*2=,2*29*4=,2*4*29=,4*29*2=,4*2*29=,4*2*29=,4*2*29=,4*2*29=,4*2*29=
13*15*4=,2*21*12=,780,19423,18048,13*4*15=,15*13*4=,15*4*13=,4*13*15=,4*15*13=,4*15*13=,4*15*13=,4*15*13=,4*15*13=
23*3*6=,3*4*24=,414,17448,15287,23*6*3=,3*23*6=,3*6*23=,6*23*3=,6*3*23=,6*3*23=,6*3*23=,6*3*23=,6*3*23=
41*6*4=,2*2*130=,984,23812,15830,41*4*6=,6*41*4=,6*4*41=,4*41*6=,4*6*41=,4*6*41=,4*6*41=,4*6*41=,4*6*41=
11*2*43=,7*15*4=,946,26491,12819,11*43*2=,2*11*43=,2*43*11=,43*11*2=,43*2*11=,43*2*11=,43*2*11=,43*2*11=,43*2*11=
2*4*48=,2*4*90=,384,12910,13104,2*48*4=,4*2*48=,4*48*2=,48*2*4=,48*4*2=,48*4*2=,48*4*2=,48*4*2=,48*4*2=
4*4*28=,23*3*10=,448,19956,21741,4*28*4=,4*4*28=,4*28*4=,28*4*4=,28*4*4=,28*4*4=,28*4*4=,28*4*4=,28*4*4=
2*4*28=,3*3*30=,224,10697,10914,2*28*4=,4*2*28=,4*28*2=,28*2*4=,28*4*2=,28*4*2=,28*4*2=,28*4*2=,28*4*2=
6*4*20=,2*28*8=,480,11738,19956,6*20*4=,4*6*20=,4*20*6=,20*6*4=,20*4*6=,20*4*6=,20*4*6=,20*4*6=,20*4*6=
2*38*8=,13*15*4=,608,19944,19423,2*8*38=,38*2*8=,38*8*2=,8*2*38=,8*38*2=,8*38*2=,8*38*2=,8*38*2=,8*38*2=
10*14*4=,7*10*10=,560,17698,7007,10*4*14=,14*10*4=,14*4*10=,4*10*14=,4*14*10=,4*14*10=,4*14*10=,4*14*10=,4*14*10=
9*9*12=,29*13*2=,972,24425,23952,9*12*9=,9*9*12=,9*12*9=,12*9*9=,12*9*9=,12*9*9=,12*9*9=,12*9*9=,12*9*9=
2*4*52=,2*3*26=,416,17763,10132,2*52*4=,4*2*52=,4*52*2=,52*2*4=,52*4*2=,52*4*2=,52*4*2=,52*4*2=,52*4*2=
2*3*150=,2*4*30=,900,7467,8273,2*150*3=,3*2*150=,3*150*2=,150*2*3=,150*3*2=,150*3*2=,150*3*2=,150*3*2=,150*3*2=
3*10*8=,2*38*8=,240,8273,19944,3*8*10=,10*3*8=,10*8*3=,8*3*10=,8*10*3=,8*10*3=,8*10*3=,8*10*3=,8*10*3=
26*4*4=,2*109*4=,416,17763,25303,26*4*4=,4*26*4=,4*4*26=,4*26*4=,4*4*26=,4*4*26=,4*4*26=,4*4*26=,4*4*26=
2*2*130=,2*30*8=,520,15830,11738,2*130*2=,2*2*130=,2*130*2=,130*2*2=,130*2*2=,130*2*2=,130*2*2=,130*2*2=,130*2*2=
2*5*39=,11*3*22=,390,15515,24430,2*39*5=,5*2*39=,5*39*2=,39*2*5=,39*5*2=,39*5*2=,39*5*2=,39*5*2=,39*5*2=
3*3*25=,2*2*136=,225,11057,21239,3*25*3=,3*3*25=,3*25*3=,25*3*3=,25*3*3=,25*3*3=,25*3*3=,25*3*3=,25*3*3=
11*6*6=,103*2*2=,396,19615,17574,11*6*6=,6*11*6=,6*6*11=,6*11*6=,6*6*11=,6*6*11=,6*6*11=,6*6*11=,6*6*11=
11*2*27=,2*3*133=,594,23428,26519,11*27*2=,2*11*27=,2*27*11=,27*11*2=,27*2*11=,27*2*11=,27*2*11=,27*2*11=,27*2*11=
3*3*30=,2*14*20=,270,10914,17698,3*30*3=,3*3*30=,3*30*3=,30*3*3=,30*3*3=,30*3*3=,30*3*3=,30*3*3=,30*3*3=
7*2*14=,3*30*8=,196,5162,13104,7*14*2=,2*7*14=,2*14*7=,14*7*2=,14*2*7=,14*2*7=,14*2*7=,14*2*7=,14*2*7=
2*14*25=,53*7*2=,700,7007,25560,2*25*14=,14*2*25=,14*25*2=,25*2*14=,25*14*2=,25*14*2=,25*14*2=,25*14*2=,25*14*2=
2*2*88=,4*4*42=,352,16482,22768,2*88*2=,2*2*88=,2*88*2=,88*2*2=,88*2*2=,88*2*2=,88*2*2=,88*2*2=,88*2*2=
3*5*42=,7*3*33=,630,18660,25298,3*42*5=,5*3*42=,5*42*3=,42*3*5=,42*5*3=,42*5*3=,42*5*3=,42*5*3=,42*5*3=
2*3*26=,29*13*2=,156,10132,23952,2*26*3=,3*2*26=,3*26*2=,26*2*3=,26*3*2=,26*3*2=,26*3*2=,26*3*2=,26*3*2=
2*2*110=,13*2*5=,440,14868,5894,2*110*2=,2*2*110=,2*110*2=,110*2*2=,110*2*2=,110*2*2=,110*2*2=,110*2*2=,110*2*2=
9*4*4=,10*14*4=,144,8929,17698,9*4*4=,4*9*4=,4*4*9=,4*9*4=,4*4*9=,4*4*9=,4*4*9=,4*4*9=,4*4*9=
2*22*4*4=,2*2*49*4=,704,21949,22148,4*2*22*4=,4*2*4*22=,4*4*2*22=,4*2*22*4=,4*4*22*2=,22*4*2*4=,22*4*2*4=,4*4*22*2=,22*4*4*2=
2*3*5*10=,3*6*9*4=,300,3101,23802,2*3*10*5=,10*3*2*5=,5*3*10*2=,10*2*5*3=,3*2*10*5=,5*10*2*3=,5*2*3*10=,3*10*5*2=,10*5*2*3=
2*2*6*18=,2*3*5*10=,432,16739,3101,18*2*2*6=,18*6*2*2=,6*18*2*2=,2*2*18*6=,2*18*2*6=,2*6*18*2=,6*2*2*18=,6*2*18*2=,2*6*18*2=
41*2*2*6=,2*2*2*98=,984,23812,22148,41*6*2*2=,2*41*6*2=,2*2*41*6=,2*6*2*41=,2*6*2*41=,41*2*6*2=,2*41*6*2=,2*6*41*2=,2*41*2*6=
59*2*2*3=,13*2*2*16=,708,21295,23879,3*2*59*2=,3*2*2*59=,2*59*3*2=,2*3*2*59=,3*59*2*2=,2*2*3*59=,2*2*3*59=,59*2*2*3=,2*59*2*3=
3*6*6*8=,2*3*3*52=,864,19355,25612,6*6*8*3=,6*6*3*8=,8*6*3*6=,3*6*6*8=,8*6*6*3=,6*3*6*8=,8*6*6*3=,3*6*8*6=,3*8*6*6=
17*2*4*4=,2*3*3*50=,544,21239,7467,4*2*4*17=,4*17*4*2=,4*2*4*17=,2*4*4*17=,17*4*2*4=,4*4*17*2=,2*4*17*4=,17*4*4*2=,4*4*2*17=
11*2*5*6=,103*2*2*2=,660,19274,25016,11*2*6*5=,5*6*2*11=,6*2*11*5=,5*6*11*2=,2*6*5*11=,6*5*2*11=,6*5*11*2=,11*6*2*5=,2*11*5*6=
7*2*5*8=,7*3*3*8=,560,17698,18048,5*7*2*8=,5*8*7*2=,5*7*8*2=,8*2*7*5=,5*2*8*7=,5*8*2*7=,2*5*7*8=,7*2*8*5=,8*5*7*2=
2*2*2*63=,2*5*9*9=,504,18048,19232,63*2*2*2=,2*2*63*2=,2*2*63*2=,2*2*63*2=,2*2*2*63=,2*2*2*63=,63*2*2*2=,2*2*63*2=,2*2*2*63=
7*5*6*4=,29*3*3*3=,840,19899,26008,5*6*7*4=,4*5*6*7=,7*6*5*4=,7*6*4*5=,4*5*7*6=,7*5*4*6=,4*6*7*5=,4*7*6*5=,6*4*5*7=
2*2*19*8=,2*2*4*16=,608,19944,4146,2*19*2*8=,8*2*2*19=,2*2*19*8=,8*19*2*2=,2*19*8*2=,8*2*19*2=,2*2*8*19=,2*8*19*2=,19*2*2*8=
3*6*4*8=,2*2*35*4=,576,20758,17698,3*6*8*4=,8*6*3*4=,4*3*6*8=,6*8*4*3=,4*3*8*6=,3*8*6*4=,6*3*4*8=,4*6*3*8=,6*8*3*4=
2*10*4*8=,2*5*14*4=,640,14033,17698,2*8*10*4=,10*8*4*2=,8*10*4*2=,4*2*8*10=,10*4*2*8=,10*8*2*4=,10*2*8*4=,4*2*10*8=,10*4*8*2=
2*4*4*18=,2*2*4*42=,576,20758,22768,4*4*2*18=,18*4*2*4=,2*18*4*4=,4*4*18*2=,18*4*2*4=,4*18*2*4=,4*4*18*2=,18*4*4*2=,4*2*18*4=
2*2*4*16=,107*2*2*2=,256,4146,25505,4*2*16*2=,2*4*16*2=,2*4*16*2=,2*16*2*4=,2*16*4*2=,2*2*16*4=,2*2*4*16=,16*4*2*2=,16*2*4*2=
2*2*5*20=,2*2*19*12=,400,3443,22750,2*20*5*2=,2*5*20*2=,2*5*2*20=,2*5*20*2=,2*2*20*5=,5*20*2*2=,20*5*2*2=,20*2*5*2=,20*2*2*5=
2*3*4*8=,7*2*2*26=,192,5926,24054,8*3*2*4=,4*8*3*2=,8*4*3*2=,3*8*4*2=,2*8*4*3=,2*4*3*8=,8*3*4*2=,8*2*3*4=,3*4*2*8=
2*2*25*8=,2*5*9*9=,800,4728,19232,25*8*2*2=,25*2*2*8=,25*2*8*2=,25*2*2*8=,2*8*25*2=,8*2*25*2=,25*2*8*2=,8*2*2*25=,2*2*8*25=
2*2*5*33=,2*3*5*10=,660,19274,3101,2*33*2*5=,33*2*2*5=,2*2*5*33=,5*2*2*33=,2*5*33*2=,33*2*5*2=,5*2*33*2=,5*2*33*2=,2*33*5*2=
3*6*9*4=,41*2*2*6=,648,23802,23812,6*3*4*9=,3*6*4*9=,4*6*3*9=,9*3*6*4=,6*4*3*9=,9*3*4*6=,3*4*6*9=,6*9*3*4=,6*9*4*3=
2*3*6*10=,3*5*5*4=,360,6843,3101,3*2*10*6=,6*3*2*10=,2*3*10*6=,6*10*3*2=,6*3*10*2=,6*2*10*3=,10*2*6*3=,10*6*2*3=,3*10*6*2=
2*3*19*6=,2*2*2*98=,684,24313,22148,6*2*3*19=,3*19*6*2=,3*6*2*19=,3*2*6*19=,2*19*3*6=,3*19*2*6=,19*3*2*6=,19*2*6*3=,6*3*2*19=
2*3*4*36=,2*2*3*51=,864,19355,21018,4*3*2*36=,4*2*36*3=,2*4*36*3=,3*4*36*2=,2*4*3*36=,2*36*3*4=,36*2*3*4=,36*4*3*2=,3*36*2*4=
2*2*2*22=,107*2*2*2=,176,10967,25505,2*22*2*2=,2*2*22*2=,2*2*22*2=,2*22*2*2=,2*22*2*2=,2*2*2*22=,2*22*2*2=,22*2*2*2=,2*2*22*2=
3*10*4*8=,2*2*35*4=,960,16415,17698,4*8*3*10=,10*4*8*3=,3*4*8*10=,4*3*10*8=,10*3*4*8=,4*10*8*3=,3*8*4*10=,10*8*4*3=,8*4*10*3=
2*2*6*39=,3*6*9*4=,936,25612,23802,39*2*2*6=,39*2*6*2=,2*2*39*6=,6*2*39*2=,39*6*2*2=,2*39*2*6=,6*2*2*39=,2*39*2*6=,2*39*6*2=
2*3*8*8=,2*2*5*35=,384,12910,7007,8*3*2*8=,2*3*8*8=,8*3*2*8=,8*2*8*3=,8*3*8*2=,2*8*3*8=,8*8*3*2=,8*2*8*3=,8*8*3*2=
3*5*5*4=,2*6*9*4=,300,3101,16739,5*3*4*5=,5*3*5*4=,3*5*4*5=,5*4*5*3=,5*5*3*4=,5*3*5*4=,4*5*3*5=,5*4*3*5=,3*4*5*5=
2*2*2*75=,2*2*18*8=,600,5067,20758,2*2*75*2=,75*2*2*2=,2*75*2*2=,75*2*2*2=,2*2*2*75=,75*2*2*2=,2*2*2*75=,2*75*2*2=,2*2*2*75=
11*2*2*10=,11*7*3*3=,440,14868,25298,2*2*11*10=,10*2*11*2=,10*2*2*11=,11*2*10*2=,2*10*11*2=,10*2*11*2=,2*2*10*11=,10*2*2*11=,11*2*10*2=
2*5*12*8=,2*2*5*35=,960,16415,7007,5*8*2*12=,8*2*5*12=,2*8*5*12=,12*2*8*5=,12*8*5*2=,5*2*12*8=,8*12*2*5=,12*5*8*2=,8*12*5*2=
2*2*2*98=,2*19*6*4=,784,22148,22750,2*98*2*2=,2*2*98*2=,98*2*2*2=,2*98*2*2=,2*2*2*98=,2*2*2*98=,2*2*2*98=,2*98*2*2=,2*2*98*2=
2*2*3*44=,7*2*3*9=,528,21458,19166,2*3*44*2=,2*44*2*3=,3*44*2*2=,3*2*44*2=,2*3*44*2=,3*2*2*44=,44*2*3*2=,2*2*3*44=,2*2*44*3=
2*2*2*71=,2*3*3*52=,568,22049,25612,2*71*2*2=,2*2*71*2=,2*2*71*2=,2*2*2*71=,71*2*2*2=,2*71*2*2=,71*2*2*2=,2*2*71*2=,71*2*2*2=
2*3*5*6=,2*2*2*24=,180,5245,5926,5*2*3*6=,2*5*6*3=,3*6*2*5=,5*3*6*2=,6*3*2*5=,3*5*2*6=,2*3*6*5=,6*5*3*2=,6*2*3*5=
2*6*6*9=,107*2*2*2=,648,23802,25505,9*2*6*6=,6*2*6*9=,6*9*6*2=,6*2*9*6=,6*6*2*9=,6*9*2*6=,2*6*9*6=,6*6*2*9=,2*6*6*9=
3*3*26*4=,3*3*3*8=,936,25612,12463,3*26*3*4=,26*4*3*3=,4*3*3*26=,4*26*3*3=,26*3*4*3=,3*3*26*4=,3*26*4*3=,26*4*3*3=,3*26*3*4=
11*7*3*3=,2*2*15*12=,693,25298,13104,3*7*11*3=,3*3*7*11=,11*7*3*3=,7*11*3*3=,3*11*3*7=,3*11*3*7=,3*3*11*7=,3*7*3*11=,3*7*11*3=
2*3*12*8=,7*3*3*8=,576,20758,18048,8*12*2*3=,12*8*3*2=,3*8*2*12=,3*12*8*2=,12*2*3*8=,8*3*12*2=,8*3*2*12=,2*12*3*8=,8*2*12*3=
41*2*2*4=,3*3*5*15=,656,20744,21129,4*2*41*2=,2*41*4*2=,2*41*2*4=,2*2*4*41=,2*2*41*4=,2*4*41*2=,2*4*41*2=,2*41*4*2=,41*2*4*2=
13*2*2*16=,2*2*2*22=,832,23879,10967,16*2*13*2=,2*13*16*2=,13*2*16*2=,2*16*13*2=,2*2*16*13=,2*2*13*16=,16*2*2*13=,13*16*2*2=,2*2*16*13=
3*5*6*4=,2*2*3*51=,360,6843,21018,3*4*5*6=,6*5*4*3=,6*4*5*3=,4*6*3*5=,6*4*3*5=,3*6*5*4=,5*3*4*6=,4*3*5*6=,5*4*3*6=
7*2*5*4=,7*2*2*33=,280,11209,23890,2*4*5*7=,5*2*7*4=,2*7*5*4=,4*5*7*2=,5*4*7*2=,4*2*7*5=,7*5*4*2=,2*5*7*4=,5*7*4*2=
2*2*12*12=,2*2*4*42=,576,20758,22768,2*2*12*12=,2*12*12*2=,2*2*12*12=,12*2*12*2=,12*2*12*2=,12*2*12*2=,12*12*2*2=,12*2*2*12=,12*12*2*2=
2*2*14*12=,3*4*4*20=,672,22768,16415,2*12*2*14=,2*12*2*14=,12*2*14*2=,2*2*12*14=,12*2*14*2=,14*2*2*12=,14*2*12*2=,12*2*2*14=,2*12*14*2=
11*2*5*4=,2*2*5*38=,440,14868,19104,4*11*5*2=,4*5*11*2=,11*5*4*2=,2*4*5*11=,4*5*2*11=,2*5*11*4=,11*5*2*4=,5*2*4*11=,11*4*5*2=
2*2*19*12=,2*2*25*8=,912,22750,4728,12*2*19*2=,12*19*2*2=,19*2*2*12=,2*12*19*2=,2*12*2*19=,19*2*12*2=,2*12*2*19=,12*2*2*19=,2*12*19*2=
29*3*3*3=,2*3*5*10=,783,26008,3101,3*3*29*3=,3*3*3*29=,3*29*3*3=,3*3*29*3=,3*3*29*3=,3*29*3*3=,3*3*3*29=,3*3*3*29=,3*29*3*3=
2*2*3*43=,2*2*6*39=,516,20571,25612,2*3*2*43=,2*2*43*3=,2*43*3*2=,3*43*2*2=,3*2*2*43=,43*2*2*3=,2*3*43*2=,2*3*2*43=,3*2*2*43=
2*2*6*32=,2*5*6*9=,768,17521,17048,32*6*2*2=,6*2*2*32=,2*6*32*2=,32*2*6*2=,32*2*2*6=,32*2*6*2=,32*2*2*6=,6*2*32*2=,2*2*6*32=
2*2*49*4=,2*2*5*20=,784,22148,3443,2*2*49*4=,2*4*2*49=,2*49*4*2=,4*49*2*2=,4*2*49*2=,4*49*2*2=,49*2*4*2=,4*2*49*2=,2*4*49*2=
2*2*15*12=,2*2*19*8=,720,13104,19944,2*12*2*15=,15*12*2*2=,2*2*12*15=,12*15*2*2=,2*12*15*2=,12*15*2*2=,15*2*12*2=,12*2*15*2=,2*2*12*15=
7*2*3*10=,2*2*49*4=,420,12819,22148,7*3*10*2=,3*10*7*2=,7*10*2*3=,10*2*3*7=,3*2*7*10=,7*2*10*3=,2*3*7*10=,3*10*2*7=,10*2*7*3=
2*2*2*24=,3*6*9*4=,192,5926,23802,2*2*24*2=,2*24*2*2=,2*2*2*24=,2*24*2*2=,24*2*2*2=,24*2*2*2=,2*2*2*24=,2*2*24*2=,2*24*2*2=
2*2*18*8=,2*2*4*60=,576,20758,16415,18*8*2*2=,8*2*2*18=,2*18*8*2=,8*2*18*2=,8*18*2*2=,18*2*8*2=,18*2*2*8=,2*18*2*8=,18*2*8*2=
7*2*2*33=,2*2*6*18=,924,23890,16739,2*2*7*33=,33*2*7*2=,7*2*2*33=,2*7*33*2=,2*33*2*7=,7*33*2*2=,2*2*33*7=,2*7*33*2=,7*2*33*2=
2*2*35*4=,2*2*5*35=,560,17698,7007,35*4*2*2=,2*2*4*35=,4*2*2*35=,4*35*2*2=,35*2*2*4=,2*35*2*4=,2*2*4*35=,4*35*2*2=,4*2*35*2=
7*2*3*9=,13*2*2*15=,378,19166,19423,9*2*3*7=,3*9*7*2=,2*9*7*3=,3*7*9*2=,9*3*7*2=,3*2*7*9=,7*2*9*3=,2*7*3*9=,7*9*2*3=
2*2*3*15=,2*2*19*12=,180,5245,22750,15*2*2*3=,2*2*15*3=,2*15*2*3=,2*3*15*2=,3*2*2*15=,3*2*2*15=,15*3*2*2=,2*3*2*15=,3*2*15*2=
7*2*2*9=,2*3*3*50=,252,12326,7467,2*9*2*7=,2*2*9*7=,2*2*7*9=,2*7*9*2=,9*7*2*2=,9*7*2*2=,2*7*2*9=,2*9*2*7=,7*2*2*9=
3*3*5*15=,2*22*4*4=,675,21129,21949,15*3*3*5=,3*3*5*15=,15*3*3*5=,15*3*5*3=,15*3*5*3=,5*15*3*3=,5*3*15*3=,3*5*3*15=,3*15*5*3=
2*3*5*33=,7*2*5*8=,990,19146,17698,3*5*33*2=,5*3*2*33=,2*33*5*3=,33*5*3*2=,2*5*33*3=,33*5*2*3=,5*3*33*2=,5*33*3*2=,33*2*5*3=
2*2*4*42=,2*2*2*63=,672,22768,18048,2*42*4*2=,42*2*4*2=,2*4*42*2=,2*42*4*2=,42*4*2*2=,4*42*2*2=,2*2*42*4=,4*42*2*2=,42*4*2*2=
2*2*5*36=,2*2*4*48=,720,13104,17521,36*2*5*2=,2*36*5*2=,36*5*2*2=,36*2*2*5=,2*36*2*5=,2*2*36*5=,5*2*2*36=,36*2*2*5=,5*2*2*36=
13*2*3*6=,2*2*3*43=,468,20304,20571,3*13*2*6=,6*13*3*2=,3*2*6*13=,3*13*6*2=,2*3*13*6=,6*13*2*3=,2*13*3*6=,13*2*6*3=,6*3*2*13=
7*3*3*8=,2*2*25*8=,504,18048,4728,3*3*8*7=,7*3*8*3=,3*7*3*8=,8*3*3*7=,3*7*8*3=,7*8*3*3=,7*3*3*8=,8*3*7*3=,7*3*8*3=
2*5*9*9=,2*2*3*56=,810,19232,22768,5*2*9*9=,2*5*9*9=,9*5*2*9=,9*2*9*5=,2*9*9*5=,5*9*9*2=,9*2*9*5=,9*5*9*2=,2*9*5*9=
3*6*6*9=,11*2*2*10=,972,24425,14868,9*6*6*3=,9*3*6*6=,9*6*3*6=,6*6*9*3=,6*6*3*9=,3*6*9*6=,3*9*6*6=,3*6*6*9=,3*6*9*6=
3*5*4*12=,2*5*6*9=,720,13104,17048,3*4*12*5=,4*12*3*5=,4*5*3*12=,3*12*4*5=,12*4*5*3=,5*12*4*3=,5*3*12*4=,12*3*4*5=,5*12*3*4=
2*2*3*56=,2*2*6*26=,672,22768,23000,2*2*56*3=,56*3*2*2=,2*56*3*2=,3*2*56*2=,56*2*2*3=,2*3*2*56=,3*2*2*56=,2*56*2*3=,56*3*2*2=
2*3*3*52=,2*5*5*10=,936,25612,2636,3*52*3*2=,52*3*3*2=,3*2*3*52=,2*52*3*3=,52*2*3*3=,3*52*2*3=,3*3*2*52=,3*2*3*52=,2*52*3*3=
13*2*2*15=,13*2*3*8=,780,19423,23000,15*2*2*13=,2*2*15*13=,2*13*15*2=,15*13*2*2=,2*13*15*2=,2*2*13*15=,15*2*13*2=,2*15*13*2=,13*2*15*2=
2*10*4*12=,13*2*5*6=,960,16415,19423,2*12*4*10=,10*4*2*12=,4*10*12*2=,4*12*10*2=,12*10*4*2=,2*12*10*4=,10*2*12*4=,4*2*12*10=,12*10*2*4=
2*2*3*51=,2*3*8*8=,612,21018,12910,3*2*2*51=,2*3*2*51=,2*2*51*3=,3*51*2*2=,3*2*51*2=,51*2*3*2=,2*3*51*2=,3*2*51*2=,2*2*3*51=
2*19*3*5=,2*6*9*4=,570,18712,16739,2*3*5*19=,5*3*19*2=,2*3*19*5=,3*2*19*5=,3*19*5*2=,19*2*5*3=,19*3*5*2=,3*19*2*5=,5*2*19*3=
11*4*4*4=,2*6*6*9=,704,21949,23802,4*4*4*11=,4*11*4*4=,4*4*11*4=,4*11*4*4=,4*4*4*11=,4*4*11*4=,4*11*4*4=,4*4*11*4=,4*11*4*4=
7*3*3*5=,11*2*5*4=,315,15189,14868,3*5*7*3=,3*7*3*5=,5*3*7*3=,3*3*7*5=,5*3*3*7=,5*7*3*3=,5*7*3*3=,3*7*5*3=,3*5*3*7=
2*2*4*44=,2*2*4*42=,704,21949,22768,2*4*44*2=,44*4*2*2=,4*2*2*44=,2*2*4*44=,2*4*2*44=,44*2*2*4=,2*4*2*44=,2*44*4*2=,2*44*4*2=
13*2*2*12=,3*5*5*4=,624,23000,3101,2*13*2*12=,13*12*2*2=,12*2*2*13=,2*2*12*13=,2*2*13*12=,13*2*2*12=,2*13*12*2=,2*12*2*13=,2*12*2*13=
2*2*2*78=,13*2*2*8=,624,23000,17763,78*2*2*2=,2*78*2*2=,2*2*2*78=,2*2*2*78=,2*2*78*2=,2*2*78*2=,2*2*2*78=,2*2*78*2=,2*78*2*2=
13*2*2*8=,2*2*30*8=,416,17763,16415,2*2*8*13=,8*2*2*13=,13*2*2*8=,2*13*2*8=,2*13*2*8=,13*8*2*2=,13*8*2*2=,8*2*2*13=,8*13*2*2=
2*3*3*50=,2*2*3*43=,900,7467,20571,50*3*3*2=,3*3*50*2=,2*3*50*3=,50*3*3*2=,50*3*2*3=,3*2*3*50=,2*50*3*3=,3*3*2*50=,3*2*3*50=
2*5*6*9=,3*10*4*8=,540,17048,16415,2*5*9*6=,5*9*6*2=,9*6*5*2=,6*9*2*5=,5*9*2*6=,6*2*5*9=,6*5*2*9=,2*9*5*6=,2*6*5*9=
13*2*3*8=,11*7*3*3=,624,23000,25298,13*8*2*3=,3*13*8*2=,2*8*13*3=,13*3*2*8=,2*8*3*13=,3*8*13*2=,3*13*2*8=,2*3*8*13=,2*13*8*3=
