,clean,corrupted,corrupted_hard,correct_idx,incorrect_idx
695,"When Cody and Joshua got a kiss at the store, Cody decided to give it to","When Cody and Joshua got a kiss at the store, Paul decided to give it to","When Cody and Joshua got a kiss at the store, Joshua decided to give it to",20700,27035
308,"Then, Kimberly and Mary were working at the store. Kimberly decided to give a kiss to","Then, Kimberly and Mary were working at the store. Travis decided to give a kiss to","Then, Kimberly and Mary were working at the store. Mary decided to give a kiss to",5335,48685
292,"Then, Sean and Brian were thinking about going to the restaurant. Sean wanted to give a basketball to","Then, Sean and Brian were thinking about going to the restaurant. Brittany wanted to give a basketball to","Then, Sean and Brian were thinking about going to the restaurant. Brian wanted to give a basketball to",8403,11465
583,"Then, Gregory and Justin had a long argument, and afterwards Justin said to","Then, Gregory and Justin had a long argument, and afterwards Nathan said to","Then, Gregory and Justin had a long argument, and afterwards Gregory said to",20653,10799
779,"After Amy and Timothy went to the house, Timothy gave a necklace to","After Amy and Timothy went to the house, Rachel gave a necklace to","After Amy and Timothy went to the house, Amy gave a necklace to",14235,22283
126,"After Sarah and Alicia went to the office, Sarah gave a necklace to","After Sarah and Alicia went to the office, Allison gave a necklace to","After Sarah and Alicia went to the office, Alicia gave a necklace to",39607,10490
15,"After Jessica and Adam went to the school, Jessica gave a snack to","After Jessica and Adam went to the school, Jennifer gave a snack to","After Jessica and Adam went to the school, Adam gave a snack to",7244,17352
269,"Then, Katherine and Charles were working at the station. Katherine decided to give a necklace to","Then, Katherine and Charles were working at the station. Sean decided to give a necklace to","Then, Katherine and Charles were working at the station. Charles decided to give a necklace to",7516,32719
328,"Then, Courtney and Richard had a long argument, and afterwards Richard said to","Then, Courtney and Richard had a long argument, and afterwards Heather said to","Then, Courtney and Richard had a long argument, and afterwards Courtney said to",36677,6219
977,"Then, Jason and Christopher were thinking about going to the station. Jason wanted to give a snack to","Then, Jason and Christopher were thinking about going to the station. Andrea wanted to give a snack to","Then, Jason and Christopher were thinking about going to the station. Christopher wanted to give a snack to",12803,8982
18,"Then, Nicole and Anthony were thinking about going to the house. Nicole wanted to give a ring to","Then, Nicole and Anthony were thinking about going to the house. Katie wanted to give a ring to","Then, Nicole and Anthony were thinking about going to the house. Anthony wanted to give a ring to",9953,25176
619,"Then, Mary and Jeffrey had a long argument, and afterwards Jeffrey said to","Then, Mary and Jeffrey had a long argument, and afterwards Katie said to","Then, Mary and Jeffrey had a long argument, and afterwards Mary said to",5335,19627
280,"Then, Mary and Bradley had a lot of fun at the school. Mary gave a bone to","Then, Mary and Bradley had a lot of fun at the school. Kelly gave a bone to","Then, Mary and Bradley had a lot of fun at the school. Bradley gave a bone to",16182,5335
54,"Then, Joseph and Brandon had a long argument, and afterwards Brandon said to","Then, Joseph and Brandon had a long argument, and afterwards Cody said to","Then, Joseph and Brandon had a long argument, and afterwards Joseph said to",7212,14328
646,"Then, Matthew and Dustin went to the store. Matthew gave a ring to","Then, Matthew and Dustin went to the store. Heather gave a ring to","Then, Matthew and Dustin went to the store. Dustin gave a ring to",37616,9308
522,"Then, Jose and Angela went to the office. Angela gave a snack to","Then, Jose and Angela went to the office. Lindsay gave a snack to","Then, Jose and Angela went to the office. Jose gave a snack to",5264,17799
839,"Then, Katie and Richard were working at the station. Richard decided to give a snack to","Then, Katie and Richard were working at the station. Sarah decided to give a snack to","Then, Katie and Richard were working at the station. Katie decided to give a snack to",24721,6219
217,"Then, Scott and Laura had a long argument, and afterwards Laura said to","Then, Scott and Laura had a long argument, and afterwards Kenneth said to","Then, Scott and Laura had a long argument, and afterwards Scott said to",4746,16753
943,"Then, Paul and Mark had a lot of fun at the store. Paul gave a basketball to","Then, Paul and Mark had a lot of fun at the store. Lindsay gave a basketball to","Then, Paul and Mark had a lot of fun at the store. Mark gave a basketball to",2940,3362
595,"Then, Justin and David were thinking about going to the house. David wanted to give a necklace to","Then, Justin and David were thinking about going to the house. Samuel wanted to give a necklace to","Then, Justin and David were thinking about going to the house. Justin wanted to give a necklace to",10799,3271
239,"After Richard and Laura went to the house, Richard gave a snack to","After Richard and Laura went to the house, Samantha gave a snack to","After Richard and Laura went to the house, Laura gave a snack to",16753,6219
61,"When Jamie and Samuel got a basketball at the store, Jamie decided to give it to","When Jamie and Samuel got a basketball at the store, Amy decided to give it to","When Jamie and Samuel got a basketball at the store, Samuel decided to give it to",17100,17826
361,"Then, Amy and Steven had a lot of fun at the house. Amy gave a necklace to","Then, Amy and Steven had a lot of fun at the house. Robert gave a necklace to","Then, Amy and Steven had a lot of fun at the house. Steven gave a necklace to",8239,14235
365,"Then, Mary and Jennifer had a long argument, and afterwards Mary said to","Then, Mary and Jennifer had a long argument, and afterwards Kenneth said to","Then, Mary and Jennifer had a long argument, and afterwards Jennifer said to",16348,5335
298,"When Rachel and Charles got a computer at the store, Rachel decided to give it to","When Rachel and Charles got a computer at the store, Mark decided to give it to","When Rachel and Charles got a computer at the store, Charles decided to give it to",7516,15984
136,"Then, Emily and Heather went to the office. Emily gave a kiss to","Then, Emily and Heather went to the office. Andrew gave a kiss to","Then, Emily and Heather went to the office. Heather gave a kiss to",24253,17608
827,"Then, Allison and David had a long argument, and afterwards David said to","Then, Allison and David had a long argument, and afterwards Anthony said to","Then, Allison and David had a long argument, and afterwards Allison said to",33461,3271
201,"When Allison and Jacob got a computer at the school, Allison decided to give it to","When Allison and Jacob got a computer at the school, Bryan decided to give it to","When Allison and Jacob got a computer at the school, Jacob decided to give it to",12806,33461
838,"Then, Kevin and Robert went to the office. Robert gave a computer to","Then, Kevin and Robert went to the office. Jason gave a computer to","Then, Kevin and Robert went to the office. Kevin gave a computer to",7939,5199
500,"Then, Amanda and Kevin had a long argument, and afterwards Amanda said to","Then, Amanda and Kevin had a long argument, and afterwards Daniel said to","Then, Amanda and Kevin had a long argument, and afterwards Kevin said to",7939,23040
248,"After Erin and Aaron went to the station, Aaron gave a necklace to","After Erin and Aaron went to the station, Lauren gave a necklace to","After Erin and Aaron went to the station, Erin gave a necklace to",28894,12139
482,"Then, Allison and Jacob had a long argument, and afterwards Jacob said to","Then, Allison and Jacob had a long argument, and afterwards Eric said to","Then, Allison and Jacob had a long argument, and afterwards Allison said to",33461,12806
590,"Then, Kenneth and Angela were thinking about going to the station. Angela wanted to give a bone to","Then, Kenneth and Angela were thinking about going to the station. Patrick wanted to give a bone to","Then, Kenneth and Angela were thinking about going to the station. Kenneth wanted to give a bone to",23632,17799
137,"When Brian and Courtney got a basketball at the station, Brian decided to give it to","When Brian and Courtney got a basketball at the station, Jacob decided to give it to","When Brian and Courtney got a basketball at the station, Courtney decided to give it to",36677,8403
804,"Then, Lisa and Sean went to the school. Sean gave a kiss to","Then, Lisa and Sean went to the school. Katie gave a kiss to","Then, Lisa and Sean went to the school. Lisa gave a kiss to",15378,11465
134,"Then, Sarah and Mark had a long argument, and afterwards Mark said to","Then, Sarah and Mark had a long argument, and afterwards Daniel said to","Then, Sarah and Mark had a long argument, and afterwards Sarah said to",10490,2940
446,"Then, Amber and Sara went to the restaurant. Sara gave a ring to","Then, Amber and Sara went to the restaurant. Nathan gave a ring to","Then, Amber and Sara went to the restaurant. Amber gave a ring to",21896,24799
876,"When Sarah and Bradley got a computer at the station, Bradley decided to give it to","When Sarah and Bradley got a computer at the station, Joshua decided to give it to","When Sarah and Bradley got a computer at the station, Sarah decided to give it to",10490,16182
106,"After Megan and John went to the garden, Megan gave a snack to","After Megan and John went to the garden, Jonathan gave a snack to","After Megan and John went to the garden, John gave a snack to",1757,27616
390,"Then, Matthew and Tiffany had a long argument, and afterwards Tiffany said to","Then, Matthew and Tiffany had a long argument, and afterwards Kristen said to","Then, Matthew and Tiffany had a long argument, and afterwards Matthew said to",9308,40928
969,"Then, Elizabeth and Travis had a lot of fun at the hospital. Elizabeth gave a bone to","Then, Elizabeth and Travis had a lot of fun at the hospital. Paul gave a bone to","Then, Elizabeth and Travis had a lot of fun at the hospital. Travis gave a bone to",19804,10674
613,"Then, Sara and Rebecca had a long argument, and afterwards Sara said to","Then, Sara and Rebecca had a long argument, and afterwards Andrew said to","Then, Sara and Rebecca had a long argument, and afterwards Rebecca said to",23489,24799
922,"Then, Emily and Angela had a lot of fun at the restaurant. Emily gave a ring to","Then, Emily and Angela had a lot of fun at the restaurant. Scott gave a ring to","Then, Emily and Angela had a lot of fun at the restaurant. Angela gave a ring to",17799,17608
189,"Then, Angela and Tyler were working at the hospital. Angela decided to give a computer to","Then, Angela and Tyler were working at the hospital. Tiffany decided to give a computer to","Then, Angela and Tyler were working at the hospital. Tyler decided to give a computer to",14886,17799
31,"Then, Patrick and Jeremy had a lot of fun at the station. Patrick gave a ring to","Then, Patrick and Jeremy had a lot of fun at the station. Ashley gave a ring to","Then, Patrick and Jeremy had a lot of fun at the station. Jeremy gave a ring to",11753,9925
216,"Then, Andrea and Justin had a lot of fun at the office. Justin gave a necklace to","Then, Andrea and Justin had a lot of fun at the office. Crystal gave a necklace to","Then, Andrea and Justin had a lot of fun at the office. Andrea gave a necklace to",23174,10799
329,"Then, Andrew and Laura had a long argument, and afterwards Andrew said to","Then, Andrew and Laura had a long argument, and afterwards Mary said to","Then, Andrew and Laura had a long argument, and afterwards Laura said to",16753,6858
181,"Then, Amanda and Elizabeth were thinking about going to the office. Amanda wanted to give a bone to","Then, Amanda and Elizabeth were thinking about going to the office. Erin wanted to give a bone to","Then, Amanda and Elizabeth were thinking about going to the office. Elizabeth wanted to give a bone to",10674,23040
635,"After Amanda and Kyle went to the hospital, Kyle gave a basketball to","After Amanda and Kyle went to the hospital, Tiffany gave a basketball to","After Amanda and Kyle went to the hospital, Amanda gave a basketball to",23040,14316
148,"Then, Erin and Justin had a lot of fun at the office. Justin gave a necklace to","Then, Erin and Justin had a lot of fun at the office. Danielle gave a necklace to","Then, Erin and Justin had a lot of fun at the office. Erin gave a necklace to",28894,10799
607,"Then, Rebecca and Nicholas had a lot of fun at the store. Nicholas gave a necklace to","Then, Rebecca and Nicholas had a lot of fun at the store. Lindsay gave a necklace to","Then, Rebecca and Nicholas had a lot of fun at the store. Rebecca gave a necklace to",23489,20320
251,"Then, Katie and Kyle had a long argument, and afterwards Kyle said to","Then, Katie and Kyle had a long argument, and afterwards Lauren said to","Then, Katie and Kyle had a long argument, and afterwards Katie said to",24721,14316
541,"Then, Elizabeth and Alicia had a lot of fun at the house. Alicia gave a drink to","Then, Elizabeth and Alicia had a lot of fun at the house. Kyle gave a drink to","Then, Elizabeth and Alicia had a lot of fun at the house. Elizabeth gave a drink to",10674,39607
202,"Then, Vanessa and Nathan were working at the store. Vanessa decided to give a computer to","Then, Vanessa and Nathan were working at the store. Anthony decided to give a computer to","Then, Vanessa and Nathan were working at the store. Nathan decided to give a computer to",18106,42100
675,"After Justin and Vanessa went to the store, Justin gave a bone to","After Justin and Vanessa went to the store, Aaron gave a bone to","After Justin and Vanessa went to the store, Vanessa gave a bone to",42100,10799
952,"Then, Samuel and David went to the office. Samuel gave a bone to","Then, Samuel and David went to the office. Cody gave a bone to","Then, Samuel and David went to the office. David gave a bone to",3271,17100
204,"After Megan and Ryan went to the garden, Ryan gave a kiss to","After Megan and Ryan went to the garden, Courtney gave a kiss to","After Megan and Ryan went to the garden, Megan gave a kiss to",27616,6047
577,"Then, Vanessa and Patrick had a lot of fun at the restaurant. Patrick gave a snack to","Then, Vanessa and Patrick had a lot of fun at the restaurant. Daniel gave a snack to","Then, Vanessa and Patrick had a lot of fun at the restaurant. Vanessa gave a snack to",42100,9925
933,"After Mary and Michelle went to the hospital, Mary gave a necklace to","After Mary and Michelle went to the hospital, Vanessa gave a necklace to","After Mary and Michelle went to the hospital, Michelle gave a necklace to",16738,5335
599,"After Michelle and Tiffany went to the house, Michelle gave a snack to","After Michelle and Tiffany went to the house, Jonathan gave a snack to","After Michelle and Tiffany went to the house, Tiffany gave a snack to",40928,16738
475,"After Justin and Charles went to the garden, Justin gave a snack to","After Justin and Charles went to the garden, Lindsey gave a snack to","After Justin and Charles went to the garden, Charles gave a snack to",7516,10799
246,"When Robert and Jesse got a bone at the school, Robert decided to give it to","When Robert and Jesse got a bone at the school, Brandon decided to give it to","When Robert and Jesse got a bone at the school, Jesse decided to give it to",18033,5199
263,"After Ashley and Christina went to the house, Christina gave a drink to","After Ashley and Christina went to the house, Brian gave a drink to","After Ashley and Christina went to the house, Ashley gave a drink to",20899,33673
869,"Then, Justin and Kristen had a lot of fun at the garden. Justin gave a ring to","Then, Justin and Kristen had a lot of fun at the garden. Alexander gave a ring to","Then, Justin and Kristen had a lot of fun at the garden. Kristen gave a ring to",44467,10799
20,"Then, Lisa and Megan had a long argument, and afterwards Megan said to","Then, Lisa and Megan had a long argument, and afterwards Adam said to","Then, Lisa and Megan had a long argument, and afterwards Lisa said to",15378,27616
104,"Then, Richard and Katie had a long argument, and afterwards Richard said to","Then, Richard and Katie had a long argument, and afterwards Megan said to","Then, Richard and Katie had a long argument, and afterwards Katie said to",24721,6219
881,"Then, Sara and Timothy had a long argument, and afterwards Sara said to","Then, Sara and Timothy had a long argument, and afterwards Brittany said to","Then, Sara and Timothy had a long argument, and afterwards Timothy said to",22283,24799
178,"Then, Christine and Sara went to the office. Sara gave a drink to","Then, Christine and Sara went to the office. Jonathan gave a drink to","Then, Christine and Sara went to the office. Christine gave a drink to",26088,24799
951,"Then, Kenneth and Anthony went to the hospital. Kenneth gave a basketball to","Then, Kenneth and Anthony went to the hospital. Brittany gave a basketball to","Then, Kenneth and Anthony went to the hospital. Anthony gave a basketball to",9953,23632
891,"Then, Jeffrey and Richard went to the garden. Jeffrey gave a necklace to","Then, Jeffrey and Richard went to the garden. Christine gave a necklace to","Then, Jeffrey and Richard went to the garden. Richard gave a necklace to",6219,19627
392,"Then, Jeffrey and Jennifer were working at the office. Jeffrey decided to give a snack to","Then, Jeffrey and Jennifer were working at the office. Patrick decided to give a snack to","Then, Jeffrey and Jennifer were working at the office. Jennifer decided to give a snack to",16348,19627
858,"When Alicia and Christine got a drink at the store, Christine decided to give it to","When Alicia and Christine got a drink at the store, Scott decided to give it to","When Alicia and Christine got a drink at the store, Alicia decided to give it to",39607,26088
140,"Then, Ryan and Bradley had a long argument, and afterwards Ryan said to","Then, Ryan and Bradley had a long argument, and afterwards Lauren said to","Then, Ryan and Bradley had a long argument, and afterwards Bradley said to",16182,6047
774,"When Jennifer and Nicole got a computer at the house, Jennifer decided to give it to","When Jennifer and Nicole got a computer at the house, Sean decided to give it to","When Jennifer and Nicole got a computer at the house, Nicole decided to give it to",25176,16348
139,"Then, Heather and Benjamin had a lot of fun at the garden. Heather gave a drink to","Then, Heather and Benjamin had a lot of fun at the garden. Bryan gave a drink to","Then, Heather and Benjamin had a lot of fun at the garden. Benjamin gave a drink to",14533,24253
435,"Then, Rebecca and Samantha went to the house. Samantha gave a ring to","Then, Rebecca and Samantha went to the house. Lisa gave a ring to","Then, Rebecca and Samantha went to the house. Rebecca gave a ring to",23489,34778
141,"Then, Shannon and Eric were working at the garden. Eric decided to give a kiss to","Then, Shannon and Eric were working at the garden. Scott decided to give a kiss to","Then, Shannon and Eric were working at the garden. Shannon decided to give a kiss to",28108,7651
428,"Then, Lauren and Joshua were working at the store. Lauren decided to give a kiss to","Then, Lauren and Joshua were working at the store. Scott decided to give a kiss to","Then, Lauren and Joshua were working at the store. Joshua decided to give a kiss to",20700,25672
313,"After Ryan and Melissa went to the house, Melissa gave a necklace to","After Ryan and Melissa went to the house, Stephen gave a necklace to","After Ryan and Melissa went to the house, Ryan gave a necklace to",6047,24164
540,"When Kelly and Joseph got a necklace at the station, Kelly decided to give it to","When Kelly and Joseph got a necklace at the station, Travis decided to give it to","When Kelly and Joseph got a necklace at the station, Joseph decided to give it to",7212,9077
550,"Then, Michelle and Andrea had a long argument, and afterwards Michelle said to","Then, Michelle and Andrea had a long argument, and afterwards Erin said to","Then, Michelle and Andrea had a long argument, and afterwards Andrea said to",23174,16738
32,"Then, Stephanie and Allison had a lot of fun at the garden. Stephanie gave a snack to","Then, Stephanie and Allison had a lot of fun at the garden. Katherine gave a snack to","Then, Stephanie and Allison had a lot of fun at the garden. Allison gave a snack to",33461,26085
960,"When Alexander and Mark got a snack at the store, Alexander decided to give it to","When Alexander and Mark got a snack at the store, Vanessa decided to give it to","When Alexander and Mark got a snack at the store, Mark decided to give it to",2940,10009
340,"Then, Tyler and Tiffany had a lot of fun at the restaurant. Tiffany gave a drink to","Then, Tyler and Tiffany had a lot of fun at the restaurant. Crystal gave a drink to","Then, Tyler and Tiffany had a lot of fun at the restaurant. Tyler gave a drink to",14886,40928
28,"Then, Timothy and Adam were thinking about going to the house. Adam wanted to give a drink to","Then, Timothy and Adam were thinking about going to the house. Bradley wanted to give a drink to","Then, Timothy and Adam were thinking about going to the house. Timothy wanted to give a drink to",22283,7244
812,"After Jamie and Laura went to the restaurant, Jamie gave a ring to","After Jamie and Laura went to the restaurant, Jesse gave a ring to","After Jamie and Laura went to the restaurant, Laura gave a ring to",16753,17826
14,"Then, Aaron and Samuel had a lot of fun at the hospital. Samuel gave a ring to","Then, Aaron and Samuel had a lot of fun at the hospital. Michael gave a ring to","Then, Aaron and Samuel had a lot of fun at the hospital. Aaron gave a ring to",12139,17100
56,"Then, Katie and Kelly had a long argument, and afterwards Katie said to","Then, Katie and Kelly had a long argument, and afterwards Bradley said to","Then, Katie and Kelly had a long argument, and afterwards Kelly said to",9077,24721
452,"After Sarah and Stephen went to the hospital, Stephen gave a bone to","After Sarah and Stephen went to the hospital, Jeffrey gave a bone to","After Sarah and Stephen went to the hospital, Sarah gave a bone to",10490,7970
533,"Then, Timothy and Erica had a long argument, and afterwards Timothy said to","Then, Timothy and Erica had a long argument, and afterwards Kevin said to","Then, Timothy and Erica had a long argument, and afterwards Erica said to",45187,22283
150,"Then, Anthony and Sarah had a lot of fun at the restaurant. Sarah gave a snack to","Then, Anthony and Sarah had a lot of fun at the restaurant. Vanessa gave a snack to","Then, Anthony and Sarah had a lot of fun at the restaurant. Anthony gave a snack to",9953,10490
336,"After Erica and Jesse went to the hospital, Jesse gave a snack to","After Erica and Jesse went to the hospital, Nathan gave a snack to","After Erica and Jesse went to the hospital, Erica gave a snack to",45187,18033
715,"Then, Bryan and Crystal were thinking about going to the restaurant. Crystal wanted to give a drink to","Then, Bryan and Crystal were thinking about going to the restaurant. Brian wanted to give a drink to","Then, Bryan and Crystal were thinking about going to the restaurant. Bryan wanted to give a drink to",17857,12969
944,"Then, Rebecca and Brian went to the garden. Brian gave a snack to","Then, Rebecca and Brian went to the garden. Christine gave a snack to","Then, Rebecca and Brian went to the garden. Rebecca gave a snack to",23489,8403
513,"Then, Lisa and Jonathan were thinking about going to the garden. Jonathan wanted to give a kiss to","Then, Lisa and Jonathan were thinking about going to the garden. Michael wanted to give a kiss to","Then, Lisa and Jonathan were thinking about going to the garden. Lisa wanted to give a kiss to",15378,11232
301,"After Nathan and Robert went to the restaurant, Nathan gave a drink to","After Nathan and Robert went to the restaurant, Jonathan gave a drink to","After Nathan and Robert went to the restaurant, Robert gave a drink to",5199,18106
497,"Then, Christina and Nicole had a lot of fun at the house. Christina gave a snack to","Then, Christina and Nicole had a lot of fun at the house. Heather gave a snack to","Then, Christina and Nicole had a lot of fun at the house. Nicole gave a snack to",25176,33673
825,"When Heather and Bryan got a computer at the office, Bryan decided to give it to","When Heather and Bryan got a computer at the office, Travis decided to give it to","When Heather and Bryan got a computer at the office, Heather decided to give it to",24253,17857
156,"When Scott and Brandon got a bone at the school, Brandon decided to give it to","When Scott and Brandon got a bone at the school, Angela decided to give it to","When Scott and Brandon got a bone at the school, Scott decided to give it to",4746,14328
430,"After Kelly and Samantha went to the store, Kelly gave a kiss to","After Kelly and Samantha went to the store, Tiffany gave a kiss to","After Kelly and Samantha went to the store, Samantha gave a kiss to",34778,9077
85,"After Nathan and Anthony went to the station, Nathan gave a necklace to","After Nathan and Anthony went to the station, Katherine gave a necklace to","After Nathan and Anthony went to the station, Anthony gave a necklace to",9953,18106
167,"Then, Stephen and Kenneth had a lot of fun at the restaurant. Kenneth gave a necklace to","Then, Stephen and Kenneth had a lot of fun at the restaurant. Scott gave a necklace to","Then, Stephen and Kenneth had a lot of fun at the restaurant. Stephen gave a necklace to",7970,23632
279,"Then, Emily and Joshua went to the office. Emily gave a computer to","Then, Emily and Joshua went to the office. Daniel gave a computer to","Then, Emily and Joshua went to the office. Joshua gave a computer to",20700,17608
538,"After John and Bryan went to the office, Bryan gave a kiss to","After John and Bryan went to the office, Richard gave a kiss to","After John and Bryan went to the office, John gave a kiss to",1757,17857
225,"Then, Rachel and Christina were working at the house. Rachel decided to give a ring to","Then, Rachel and Christina were working at the house. Kelly decided to give a ring to","Then, Rachel and Christina were working at the house. Christina decided to give a ring to",33673,15984
829,"Then, Amanda and Christopher had a long argument, and afterwards Amanda said to","Then, Amanda and Christopher had a long argument, and afterwards Jacob said to","Then, Amanda and Christopher had a long argument, and afterwards Christopher said to",12803,23040
529,"Then, Scott and Jonathan had a lot of fun at the office. Scott gave a computer to","Then, Scott and Jonathan had a lot of fun at the office. Jeffrey gave a computer to","Then, Scott and Jonathan had a lot of fun at the office. Jonathan gave a computer to",11232,4746
758,"After Angela and Anthony went to the hospital, Angela gave a computer to","After Angela and Anthony went to the hospital, William gave a computer to","After Angela and Anthony went to the hospital, Anthony gave a computer to",9953,17799
558,"Then, Danielle and Kyle went to the restaurant. Kyle gave a kiss to","Then, Danielle and Kyle went to the restaurant. Jennifer gave a kiss to","Then, Danielle and Kyle went to the restaurant. Danielle gave a kiss to",39808,14316
273,"When Sara and John got a ring at the station, John decided to give it to","When Sara and John got a ring at the station, Dustin decided to give it to","When Sara and John got a ring at the station, Sara decided to give it to",24799,1757
501,"Then, Ashley and Mark were thinking about going to the school. Mark wanted to give a ring to","Then, Ashley and Mark were thinking about going to the school. Daniel wanted to give a ring to","Then, Ashley and Mark were thinking about going to the school. Ashley wanted to give a ring to",20899,2940
100,"When Courtney and Lindsey got a basketball at the office, Lindsey decided to give it to","When Courtney and Lindsey got a basketball at the office, Benjamin decided to give it to","When Courtney and Lindsey got a basketball at the office, Courtney decided to give it to",36677,30334
238,"Then, Robert and Brandon had a long argument, and afterwards Brandon said to","Then, Robert and Brandon had a long argument, and afterwards Megan said to","Then, Robert and Brandon had a long argument, and afterwards Robert said to",5199,14328
755,"Then, Ashley and Jennifer had a long argument, and afterwards Ashley said to","Then, Ashley and Jennifer had a long argument, and afterwards Kelly said to","Then, Ashley and Jennifer had a long argument, and afterwards Jennifer said to",16348,20899
417,"Then, Aaron and Stephanie were thinking about going to the office. Stephanie wanted to give a drink to","Then, Aaron and Stephanie were thinking about going to the office. Ryan wanted to give a drink to","Then, Aaron and Stephanie were thinking about going to the office. Aaron wanted to give a drink to",12139,26085
907,"Then, Sara and Dustin went to the office. Dustin gave a basketball to","Then, Sara and Dustin went to the office. Katie gave a basketball to","Then, Sara and Dustin went to the office. Sara gave a basketball to",24799,37616
850,"Then, Alexander and Aaron were thinking about going to the hospital. Aaron wanted to give a drink to","Then, Alexander and Aaron were thinking about going to the hospital. Rachel wanted to give a drink to","Then, Alexander and Aaron were thinking about going to the hospital. Alexander wanted to give a drink to",10009,12139
265,"Then, Steven and Dustin had a lot of fun at the house. Steven gave a basketball to","Then, Steven and Dustin had a lot of fun at the house. Samantha gave a basketball to","Then, Steven and Dustin had a lot of fun at the house. Dustin gave a basketball to",37616,8239
940,"Then, Benjamin and Sean were working at the store. Benjamin decided to give a snack to","Then, Benjamin and Sean were working at the store. Andrea decided to give a snack to","Then, Benjamin and Sean were working at the store. Sean decided to give a snack to",11465,14533
72,"Then, Shannon and Rebecca went to the garden. Shannon gave a basketball to","Then, Shannon and Rebecca went to the garden. Danielle gave a basketball to","Then, Shannon and Rebecca went to the garden. Rebecca gave a basketball to",23489,28108
222,"Then, Tyler and Lindsey were thinking about going to the restaurant. Lindsey wanted to give a snack to","Then, Tyler and Lindsey were thinking about going to the restaurant. Kelly wanted to give a snack to","Then, Tyler and Lindsey were thinking about going to the restaurant. Tyler wanted to give a snack to",14886,30334
23,"Then, Amanda and Kristen went to the hospital. Amanda gave a snack to","Then, Amanda and Kristen went to the hospital. Melissa gave a snack to","Then, Amanda and Kristen went to the hospital. Kristen gave a snack to",44467,23040
275,"When Melissa and Jessica got a bone at the hospital, Melissa decided to give it to","When Melissa and Jessica got a bone at the hospital, Richard decided to give it to","When Melissa and Jessica got a bone at the hospital, Jessica decided to give it to",17352,24164
2,"Then, Samuel and Thomas were working at the station. Thomas decided to give a computer to","Then, Samuel and Thomas were working at the station. Amber decided to give a computer to","Then, Samuel and Thomas were working at the station. Samuel decided to give a computer to",17100,5658
941,"Then, Angela and Richard were working at the garden. Richard decided to give a bone to","Then, Angela and Richard were working at the garden. Dustin decided to give a bone to","Then, Angela and Richard were working at the garden. Angela decided to give a bone to",17799,6219
431,"After Lisa and Anthony went to the hospital, Lisa gave a snack to","After Lisa and Anthony went to the hospital, Emily gave a snack to","After Lisa and Anthony went to the hospital, Anthony gave a snack to",9953,15378
260,"Then, Kevin and Ashley had a long argument, and afterwards Kevin said to","Then, Kevin and Ashley had a long argument, and afterwards Elizabeth said to","Then, Kevin and Ashley had a long argument, and afterwards Ashley said to",20899,7939
190,"When Amanda and Alexander got a ring at the garden, Amanda decided to give it to","When Amanda and Alexander got a ring at the garden, Laura decided to give it to","When Amanda and Alexander got a ring at the garden, Alexander decided to give it to",10009,23040
103,"Then, Allison and William were thinking about going to the garden. William wanted to give a drink to","Then, Allison and William were thinking about going to the garden. Amy wanted to give a drink to","Then, Allison and William were thinking about going to the garden. Allison wanted to give a drink to",33461,3977
358,"Then, Scott and Elizabeth were thinking about going to the school. Scott wanted to give a snack to","Then, Scott and Elizabeth were thinking about going to the school. Mary wanted to give a snack to","Then, Scott and Elizabeth were thinking about going to the school. Elizabeth wanted to give a snack to",10674,4746
440,"Then, David and Brittany had a long argument, and afterwards Brittany said to","Then, David and Brittany had a long argument, and afterwards Rachel said to","Then, David and Brittany had a long argument, and afterwards David said to",3271,48773
223,"After Katherine and Katie went to the garden, Katherine gave a computer to","After Katherine and Katie went to the garden, Kenneth gave a computer to","After Katherine and Katie went to the garden, Katie gave a computer to",24721,32719
605,"Then, Lindsay and Dustin had a lot of fun at the hospital. Dustin gave a computer to","Then, Lindsay and Dustin had a lot of fun at the hospital. Jennifer gave a computer to","Then, Lindsay and Dustin had a lot of fun at the hospital. Lindsay gave a computer to",33127,37616
808,"Then, Alicia and Stephanie had a long argument, and afterwards Alicia said to","Then, Alicia and Stephanie had a long argument, and afterwards Angela said to","Then, Alicia and Stephanie had a long argument, and afterwards Stephanie said to",26085,39607
162,"After Aaron and Jose went to the restaurant, Jose gave a necklace to","After Aaron and Jose went to the restaurant, John gave a necklace to","After Aaron and Jose went to the restaurant, Aaron gave a necklace to",12139,5264
397,"Then, Jeremy and Kelly had a lot of fun at the store. Kelly gave a drink to","Then, Jeremy and Kelly had a lot of fun at the store. Samuel gave a drink to","Then, Jeremy and Kelly had a lot of fun at the store. Jeremy gave a drink to",11753,9077
315,"Then, Michael and Travis had a long argument, and afterwards Travis said to","Then, Michael and Travis had a long argument, and afterwards Stephanie said to","Then, Michael and Travis had a long argument, and afterwards Michael said to",3899,19804
752,"Then, Scott and Crystal were thinking about going to the store. Scott wanted to give a necklace to","Then, Scott and Crystal were thinking about going to the store. Robert wanted to give a necklace to","Then, Scott and Crystal were thinking about going to the store. Crystal wanted to give a necklace to",12969,4746
213,"Then, Amber and Justin went to the store. Amber gave a basketball to","Then, Amber and Justin went to the store. Gregory gave a basketball to","Then, Amber and Justin went to the store. Justin gave a basketball to",10799,21896
