clean,corrupted,label,incorrect_label
"[6836, 7827, 1082, 8846, 5055, 7415, 7995, 6357, 5135, 7034, 1794, 7223, 6224, 4035, 8719, 3641, 5600, 6647, 7516, 8764, 6836, 7827, 1082, 8846, 5055, 7415, 7995, 6357, 5135, 7034, 1794, 7223, 6224, 4035, 8719, 3641, 5600, 6647, 7516]","[5055, 5135, 1082, 6647, 7995, 7223, 4035, 6836, 6224, 7827, 3641, 5600, 6357, 8846, 7415, 8719, 7995, 1794, 7034, 7516, 6836, 7827, 1082, 8846, 5055, 7415, 7995, 6357, 5135, 7034, 1794, 7223, 6224, 4035, 8719, 3641, 5600, 6647, 8764]",8764,"[1794, 8846, 5135, 8719, 7827, 6836, 7223, 3641, 1082, 7415, 7995, 5055, 4035, 6224, 6357, 7516, 5600, 6647, 7034]"
"[1286, 4538, 2501, 6875, 2386, 5234, 1253, 8329, 5406, 7980, 3591, 4759, 5016, 2161, 9768, 7163, 8286, 1004, 7962, 3129, 1286, 4538, 2501, 6875, 2386, 5234, 1253, 8329, 5406, 7980, 3591, 4759, 5016, 2161, 9768, 7163, 8286, 1004, 7962]","[8286, 2386, 3591, 7980, 5234, 4759, 5016, 7163, 2501, 1253, 5406, 1004, 7962, 6875, 3591, 2161, 9768, 1286, 8329, 4538, 1286, 4538, 2501, 6875, 2386, 5234, 1253, 8329, 5406, 7980, 3591, 4759, 5016, 2161, 9768, 7163, 8286, 1004, 3129]",3129,"[1286, 3591, 8329, 4759, 5016, 7962, 5406, 9768, 7980, 4538, 2501, 2386, 6875, 8286, 1253, 1004, 2161, 5234, 7163]"
"[4729, 3241, 8068, 1570, 6169, 1013, 3640, 5829, 5396, 7378, 3841, 6334, 5628, 7702, 8658, 7453, 3441, 9253, 1668, 5482, 4729, 3241, 8068, 1570, 6169, 1013, 3640, 5829, 5396, 7378, 3841, 6334, 5628, 7702, 8658, 7453, 3441, 9253, 1668]","[1570, 6169, 9253, 6169, 3241, 3441, 3841, 5829, 5628, 6334, 8658, 4729, 3640, 5396, 7378, 7453, 8068, 1013, 7702, 1668, 4729, 3241, 8068, 1570, 6169, 1013, 3640, 5829, 5396, 7378, 3841, 6334, 5628, 7702, 8658, 7453, 3441, 9253, 5482]",5482,"[3841, 8068, 1668, 5396, 7702, 6169, 7453, 1570, 9253, 3241, 3640, 6334, 5829, 7378, 8658, 3441, 1013, 4729, 5628]"
"[3439, 7458, 4013, 3024, 9817, 8278, 6123, 7347, 3180, 9130, 7268, 4814, 9994, 7860, 4931, 5434, 1553, 5121, 5351, 2905, 3439, 7458, 4013, 3024, 9817, 8278, 6123, 7347, 3180, 9130, 7268, 4814, 9994, 7860, 4931, 5434, 1553, 5121, 5351]","[4814, 5434, 3180, 4013, 7860, 7347, 3024, 8278, 4931, 1553, 7268, 5351, 7268, 5121, 9817, 9994, 9130, 3439, 7458, 6123, 3439, 7458, 4013, 3024, 9817, 8278, 6123, 7347, 3180, 9130, 7268, 4814, 9994, 7860, 4931, 5434, 1553, 5121, 2905]",2905,"[5121, 9994, 1553, 7458, 9130, 4013, 7347, 7860, 5434, 4931, 4814, 3024, 8278, 9817, 7268, 5351, 6123, 3180, 3439]"
"[8909, 4615, 8852, 5096, 6409, 9260, 5690, 9832, 9987, 8751, 7951, 9523, 4474, 5574, 8864, 7981, 9570, 8209, 8506, 5297, 8909, 4615, 8852, 5096, 6409, 9260, 5690, 9832, 9987, 8751, 7951, 9523, 4474, 5574, 8864, 7981, 9570, 8209, 8506]","[7981, 6409, 8864, 5574, 8909, 4474, 9260, 8209, 8852, 8751, 5690, 9987, 9570, 4615, 5096, 8506, 9832, 7951, 9523, 9832, 8909, 4615, 8852, 5096, 6409, 9260, 5690, 9832, 9987, 8751, 7951, 9523, 4474, 5574, 8864, 7981, 9570, 8209, 5297]",5297,"[9987, 4615, 6409, 7951, 8209, 8852, 8864, 9260, 7981, 8751, 9523, 8506, 5690, 5574, 8909, 9570, 5096, 9832, 4474]"
"[5578, 1101, 7500, 6160, 1039, 9816, 3734, 8855, 6251, 8952, 2460, 2560, 1890, 3607, 2120, 9811, 2931, 6765, 8983, 1105, 5578, 1101, 7500, 6160, 1039, 9816, 3734, 8855, 6251, 8952, 2460, 2560, 1890, 3607, 2120, 9811, 2931, 6765, 8983]","[9811, 6160, 3734, 8952, 1890, 2931, 9816, 1039, 5578, 2120, 8855, 3734, 6765, 2560, 7500, 3607, 6251, 1101, 2460, 8983, 5578, 1101, 7500, 6160, 1039, 9816, 3734, 8855, 6251, 8952, 2460, 2560, 1890, 3607, 2120, 9811, 2931, 6765, 1105]",1105,"[2560, 1039, 6160, 3734, 3607, 8983, 8855, 2460, 2120, 5578, 7500, 1101, 9811, 9816, 1890, 6251, 6765, 2931, 8952]"
"[4078, 2500, 5502, 9507, 5606, 3778, 2352, 3420, 2208, 5641, 1972, 5473, 2819, 4458, 8466, 2624, 7139, 6470, 7386, 9837, 4078, 2500, 5502, 9507, 5606, 3778, 2352, 3420, 2208, 5641, 1972, 5473, 2819, 4458, 8466, 2624, 7139, 6470, 7386]","[3778, 2500, 2208, 2819, 5606, 5641, 9507, 7386, 4458, 3420, 8466, 5473, 2624, 2352, 1972, 6470, 6470, 5502, 4078, 7139, 4078, 2500, 5502, 9507, 5606, 3778, 2352, 3420, 2208, 5641, 1972, 5473, 2819, 4458, 8466, 2624, 7139, 6470, 9837]",9837,"[2819, 5641, 8466, 2208, 9507, 2352, 1972, 2624, 3778, 2500, 6470, 7386, 3420, 5473, 7139, 5606, 4458, 4078, 5502]"
"[3841, 3854, 3316, 1421, 1162, 3174, 1206, 2758, 3700, 3511, 3370, 3685, 5081, 1452, 7173, 1269, 1621, 8586, 6115, 8240, 3841, 3854, 3316, 1421, 1162, 3174, 1206, 2758, 3700, 3511, 3370, 3685, 5081, 1452, 7173, 1269, 1621, 8586, 6115]","[1269, 7173, 3511, 3700, 1421, 3174, 3685, 1452, 2758, 3841, 8586, 3316, 1162, 6115, 1206, 3854, 8586, 3370, 5081, 1621, 3841, 3854, 3316, 1421, 1162, 3174, 1206, 2758, 3700, 3511, 3370, 3685, 5081, 1452, 7173, 1269, 1621, 8586, 8240]",8240,"[3841, 7173, 1162, 8586, 1421, 3854, 3370, 1452, 1206, 3511, 2758, 1621, 5081, 6115, 3685, 3174, 3316, 3700, 1269]"
"[4334, 7259, 6320, 1644, 2682, 2344, 9291, 7717, 9370, 2183, 9033, 8621, 8211, 9706, 9651, 9787, 1875, 2539, 4400, 5173, 4334, 7259, 6320, 1644, 2682, 2344, 9291, 7717, 9370, 2183, 9033, 8621, 8211, 9706, 9651, 9787, 1875, 2539, 4400]","[1644, 2183, 4400, 8211, 8621, 9370, 9291, 7717, 9787, 9706, 2344, 2539, 7259, 2682, 9706, 4334, 9651, 6320, 1875, 9033, 4334, 7259, 6320, 1644, 2682, 2344, 9291, 7717, 9370, 2183, 9033, 8621, 8211, 9706, 9651, 9787, 1875, 2539, 5173]",5173,"[2183, 8211, 9370, 7717, 2344, 8621, 6320, 4400, 9651, 9787, 9033, 9291, 1875, 7259, 9706, 2539, 1644, 4334, 2682]"
"[1015, 2754, 6816, 7154, 5620, 1425, 4168, 5246, 9328, 8870, 8494, 4686, 6071, 7244, 7321, 1982, 1121, 4063, 3714, 6801, 1015, 2754, 6816, 7154, 5620, 1425, 4168, 5246, 9328, 8870, 8494, 4686, 6071, 7244, 7321, 1982, 1121, 4063, 3714]","[8494, 6816, 7244, 1121, 1425, 4168, 5246, 3714, 5620, 6071, 1015, 9328, 4686, 8870, 1982, 2754, 4063, 7154, 1121, 7321, 1015, 2754, 6816, 7154, 5620, 1425, 4168, 5246, 9328, 8870, 8494, 4686, 6071, 7244, 7321, 1982, 1121, 4063, 6801]",6801,"[3714, 1425, 7321, 6816, 8870, 8494, 6071, 1982, 2754, 4168, 7244, 4686, 4063, 1121, 9328, 7154, 5620, 1015, 5246]"
"[1265, 4523, 5802, 4254, 2552, 7359, 9882, 9940, 7065, 7209, 7958, 7139, 6544, 7738, 1377, 8213, 3386, 6000, 5652, 2629, 1265, 4523, 5802, 4254, 2552, 7359, 9882, 9940, 7065, 7209, 7958, 7139, 6544, 7738, 1377, 8213, 3386, 6000, 5652]","[1265, 9940, 7065, 7209, 7139, 4523, 7958, 6000, 5652, 5802, 8213, 4254, 2552, 6544, 2552, 1377, 3386, 9882, 7359, 7738, 1265, 4523, 5802, 4254, 2552, 7359, 9882, 9940, 7065, 7209, 7958, 7139, 6544, 7738, 1377, 8213, 3386, 6000, 2629]",2629,"[6544, 5652, 8213, 7958, 7065, 9882, 4254, 7209, 5802, 4523, 3386, 7738, 7359, 9940, 1377, 7139, 6000, 1265, 2552]"
"[6681, 1470, 1559, 4394, 5142, 3395, 9105, 2040, 8918, 9144, 1878, 3703, 5805, 9079, 1487, 7245, 9099, 9222, 5883, 9610, 6681, 1470, 1559, 4394, 5142, 3395, 9105, 2040, 8918, 9144, 1878, 3703, 5805, 9079, 1487, 7245, 9099, 9222, 5883]","[1470, 1878, 6681, 9099, 2040, 9222, 3395, 1487, 5805, 3703, 9079, 9144, 7245, 5883, 1878, 8918, 9105, 1559, 5142, 4394, 6681, 1470, 1559, 4394, 5142, 3395, 9105, 2040, 8918, 9144, 1878, 3703, 5805, 9079, 1487, 7245, 9099, 9222, 9610]",9610,"[9222, 9099, 9105, 5142, 1559, 6681, 4394, 5805, 9144, 1470, 3395, 7245, 1487, 8918, 1878, 9079, 3703, 2040, 5883]"
"[1719, 8494, 3475, 8247, 8228, 4988, 8194, 7359, 7723, 2539, 2083, 1763, 7068, 6209, 7366, 8115, 9547, 5748, 5540, 6928, 1719, 8494, 3475, 8247, 8228, 4988, 8194, 7359, 7723, 2539, 2083, 1763, 7068, 6209, 7366, 8115, 9547, 5748, 5540]","[3475, 8228, 4988, 7366, 2539, 8194, 1719, 9547, 8494, 8115, 6209, 7723, 1763, 5540, 2083, 5748, 7359, 8247, 1719, 7068, 1719, 8494, 3475, 8247, 8228, 4988, 8194, 7359, 7723, 2539, 2083, 1763, 7068, 6209, 7366, 8115, 9547, 5748, 6928]",6928,"[8194, 3475, 7068, 2083, 8228, 5540, 7723, 8494, 8115, 1719, 8247, 7359, 6209, 7366, 9547, 1763, 2539, 5748, 4988]"
"[4780, 3690, 4711, 5222, 3165, 6652, 3466, 9096, 3004, 3458, 7998, 7726, 4834, 7591, 1870, 9478, 5433, 2751, 9316, 7486, 4780, 3690, 4711, 5222, 3165, 6652, 3466, 9096, 3004, 3458, 7998, 7726, 4834, 7591, 1870, 9478, 5433, 2751, 9316]","[5222, 4780, 2751, 3690, 3165, 3004, 5433, 4711, 9478, 3466, 1870, 4834, 9096, 7998, 7591, 9316, 6652, 7726, 3458, 5222, 4780, 3690, 4711, 5222, 3165, 6652, 3466, 9096, 3004, 3458, 7998, 7726, 4834, 7591, 1870, 9478, 5433, 2751, 7486]",7486,"[3458, 9478, 9096, 3466, 7591, 4780, 7726, 5433, 3004, 7998, 2751, 1870, 3165, 4834, 9316, 5222, 4711, 3690, 6652]"
"[7847, 4320, 5004, 1499, 8572, 4828, 2119, 2060, 1891, 7617, 2293, 3529, 8955, 3272, 8758, 8089, 1813, 2393, 9472, 6293, 7847, 4320, 5004, 1499, 8572, 4828, 2119, 2060, 1891, 7617, 2293, 3529, 8955, 3272, 8758, 8089, 1813, 2393, 9472]","[7847, 2060, 1813, 2119, 8955, 4828, 1499, 8758, 7617, 4320, 3529, 2393, 5004, 8089, 8572, 3272, 8572, 9472, 2293, 1891, 7847, 4320, 5004, 1499, 8572, 4828, 2119, 2060, 1891, 7617, 2293, 3529, 8955, 3272, 8758, 8089, 1813, 2393, 6293]",6293,"[9472, 5004, 2060, 1813, 8089, 7847, 8758, 7617, 2119, 3272, 3529, 2393, 1499, 4828, 4320, 1891, 2293, 8955, 8572]"
"[1230, 9614, 1746, 1580, 1601, 4655, 7616, 2949, 5033, 7508, 4535, 7498, 5043, 7702, 9357, 5077, 2556, 6384, 1479, 2945, 1230, 9614, 1746, 1580, 1601, 4655, 7616, 2949, 5033, 7508, 4535, 7498, 5043, 7702, 9357, 5077, 2556, 6384, 1479]","[1580, 1230, 9357, 1601, 1479, 7498, 5077, 7508, 7508, 7616, 2556, 5043, 6384, 2949, 9614, 1746, 4655, 7702, 5033, 4535, 1230, 9614, 1746, 1580, 1601, 4655, 7616, 2949, 5033, 7508, 4535, 7498, 5043, 7702, 9357, 5077, 2556, 6384, 2945]",2945,"[2949, 9357, 9614, 7702, 5033, 1580, 4655, 5043, 4535, 7616, 1601, 1479, 7498, 1230, 1746, 7508, 5077, 6384, 2556]"
"[7430, 8545, 6149, 6442, 5602, 3729, 7211, 8690, 9230, 2925, 3261, 8424, 8625, 2216, 6017, 7558, 8654, 2400, 3254, 7372, 7430, 8545, 6149, 6442, 5602, 3729, 7211, 8690, 9230, 2925, 3261, 8424, 8625, 2216, 6017, 7558, 8654, 2400, 3254]","[7558, 2216, 3729, 2400, 6017, 5602, 2925, 9230, 7430, 8625, 3254, 7558, 6149, 8690, 3261, 7211, 6442, 8654, 8545, 8424, 7430, 8545, 6149, 6442, 5602, 3729, 7211, 8690, 9230, 2925, 3261, 8424, 8625, 2216, 6017, 7558, 8654, 2400, 7372]",7372,"[6017, 6149, 7430, 7558, 9230, 3729, 2216, 6442, 7211, 8625, 3254, 3261, 8654, 2400, 8545, 5602, 8424, 2925, 8690]"
"[5297, 1852, 9595, 2064, 3724, 9228, 3225, 8364, 2140, 9467, 1420, 2698, 7897, 7183, 9932, 5020, 9456, 8208, 2027, 4698, 5297, 1852, 9595, 2064, 3724, 9228, 3225, 8364, 2140, 9467, 1420, 2698, 7897, 7183, 9932, 5020, 9456, 8208, 2027]","[7897, 9467, 2064, 3225, 2140, 9932, 1420, 5020, 9228, 9595, 9456, 9932, 8364, 1852, 5297, 3724, 2027, 8208, 2698, 7183, 5297, 1852, 9595, 2064, 3724, 9228, 3225, 8364, 2140, 9467, 1420, 2698, 7897, 7183, 9932, 5020, 9456, 8208, 4698]",4698,"[2698, 3724, 9228, 1420, 7183, 2064, 8208, 9595, 3225, 5020, 8364, 5297, 1852, 9932, 7897, 2140, 2027, 9456, 9467]"
"[4304, 4820, 2104, 9224, 2531, 2783, 8595, 2921, 3599, 3851, 1756, 5143, 7925, 2918, 3556, 5868, 1543, 8011, 8800, 6432, 4304, 4820, 2104, 9224, 2531, 2783, 8595, 2921, 3599, 3851, 1756, 5143, 7925, 2918, 3556, 5868, 1543, 8011, 8800]","[2783, 2104, 8011, 4820, 3556, 1756, 3851, 7925, 8595, 2531, 4304, 8011, 1543, 9224, 2921, 8800, 3599, 5143, 5868, 2918, 4304, 4820, 2104, 9224, 2531, 2783, 8595, 2921, 3599, 3851, 1756, 5143, 7925, 2918, 3556, 5868, 1543, 8011, 6432]",6432,"[1543, 9224, 3851, 3599, 8595, 5143, 2104, 8011, 4304, 4820, 1756, 2783, 8800, 2531, 3556, 2918, 2921, 5868, 7925]"
"[4450, 7357, 9893, 4493, 9966, 7003, 6010, 1658, 3057, 6271, 6869, 8734, 9761, 5668, 9659, 5384, 9684, 9955, 4589, 2258, 4450, 7357, 9893, 4493, 9966, 7003, 6010, 1658, 3057, 6271, 6869, 8734, 9761, 5668, 9659, 5384, 9684, 9955, 4589]","[1658, 8734, 5668, 9955, 6010, 5384, 7003, 6869, 4589, 4450, 4450, 6271, 9893, 9966, 9659, 9761, 7357, 3057, 4493, 9684, 4450, 7357, 9893, 4493, 9966, 7003, 6010, 1658, 3057, 6271, 6869, 8734, 9761, 5668, 9659, 5384, 9684, 9955, 2258]",2258,"[5384, 4493, 6010, 8734, 9761, 5668, 9893, 9659, 7357, 9684, 6869, 7003, 4450, 9955, 4589, 9966, 3057, 1658, 6271]"
"[9118, 8245, 2120, 1064, 9218, 4266, 3385, 4927, 4732, 8964, 9250, 4265, 3311, 1484, 7618, 2421, 8942, 8598, 2410, 8742, 9118, 8245, 2120, 1064, 9218, 4266, 3385, 4927, 4732, 8964, 9250, 4265, 3311, 1484, 7618, 2421, 8942, 8598, 2410]","[2421, 2410, 4927, 9218, 3311, 8964, 1484, 8964, 7618, 8598, 1064, 9118, 9250, 3385, 8942, 8245, 4265, 2120, 4732, 4266, 9118, 8245, 2120, 1064, 9218, 4266, 3385, 4927, 4732, 8964, 9250, 4265, 3311, 1484, 7618, 2421, 8942, 8598, 8742]",8742,"[9218, 8964, 8598, 9118, 9250, 1064, 4265, 4266, 8245, 3385, 4927, 7618, 2120, 1484, 2410, 8942, 3311, 2421, 4732]"
"[9844, 3985, 8832, 8810, 5979, 1469, 2865, 9658, 4987, 2565, 8386, 7691, 1124, 2417, 9425, 7085, 6410, 4832, 6431, 9918, 9844, 3985, 8832, 8810, 5979, 1469, 2865, 9658, 4987, 2565, 8386, 7691, 1124, 2417, 9425, 7085, 6410, 4832, 6431]","[3985, 2865, 6410, 1469, 8832, 5979, 8810, 4987, 9844, 7085, 9658, 4832, 1124, 9425, 8386, 2417, 2565, 7691, 6410, 6431, 9844, 3985, 8832, 8810, 5979, 1469, 2865, 9658, 4987, 2565, 8386, 7691, 1124, 2417, 9425, 7085, 6410, 4832, 9918]",9918,"[8832, 2565, 6410, 7691, 3985, 6431, 7085, 2865, 9658, 1469, 8386, 9425, 5979, 4832, 1124, 8810, 2417, 9844, 4987]"
"[1322, 1445, 3088, 2643, 4531, 3377, 3989, 6186, 2528, 4942, 1221, 8244, 9487, 5355, 4969, 8261, 9280, 6051, 8326, 8486, 1322, 1445, 3088, 2643, 4531, 3377, 3989, 6186, 2528, 4942, 1221, 8244, 9487, 5355, 4969, 8261, 9280, 6051, 8326]","[6051, 4942, 8244, 2528, 6186, 3377, 3989, 8326, 2643, 4531, 1445, 9487, 9280, 5355, 3088, 1221, 8261, 4531, 1322, 4969, 1322, 1445, 3088, 2643, 4531, 3377, 3989, 6186, 2528, 4942, 1221, 8244, 9487, 5355, 4969, 8261, 9280, 6051, 8486]",8486,"[8326, 9487, 3088, 3989, 6051, 1445, 1322, 6186, 3377, 4531, 8244, 9280, 1221, 8261, 4942, 2643, 2528, 4969, 5355]"
"[1300, 3268, 7699, 1969, 9264, 8642, 2560, 2476, 9327, 1565, 7828, 8218, 1794, 3825, 6830, 7723, 8639, 3729, 1183, 6571, 1300, 3268, 7699, 1969, 9264, 8642, 2560, 2476, 9327, 1565, 7828, 8218, 1794, 3825, 6830, 7723, 8639, 3729, 1183]","[8639, 8218, 1300, 3268, 1183, 7723, 3825, 1794, 3268, 3729, 7699, 1969, 7828, 9327, 6830, 9264, 8642, 2560, 1565, 2476, 1300, 3268, 7699, 1969, 9264, 8642, 2560, 2476, 9327, 1565, 7828, 8218, 1794, 3825, 6830, 7723, 8639, 3729, 6571]",6571,"[2560, 1794, 3729, 7699, 1300, 7828, 8218, 1565, 1183, 7723, 2476, 6830, 9264, 1969, 8639, 8642, 3268, 9327, 3825]"
"[9897, 8863, 3864, 2973, 1962, 2867, 3341, 9270, 4105, 8733, 4343, 5323, 1994, 3929, 5627, 9159, 3285, 7004, 6971, 7207, 9897, 8863, 3864, 2973, 1962, 2867, 3341, 9270, 4105, 8733, 4343, 5323, 1994, 3929, 5627, 9159, 3285, 7004, 6971]","[4343, 5627, 5323, 3285, 2867, 7004, 5627, 6971, 3864, 2973, 3341, 3929, 8733, 9270, 1994, 4105, 9897, 8863, 1962, 9159, 9897, 8863, 3864, 2973, 1962, 2867, 3341, 9270, 4105, 8733, 4343, 5323, 1994, 3929, 5627, 9159, 3285, 7004, 7207]",7207,"[4105, 3341, 3864, 8733, 2973, 8863, 9897, 1962, 2867, 9270, 6971, 9159, 1994, 5323, 3285, 3929, 7004, 4343, 5627]"
"[5413, 3745, 6092, 5777, 8759, 6999, 1161, 5517, 3296, 1333, 1010, 6183, 6577, 1365, 6673, 9571, 1785, 9933, 3039, 2570, 5413, 3745, 6092, 5777, 8759, 6999, 1161, 5517, 3296, 1333, 1010, 6183, 6577, 1365, 6673, 9571, 1785, 9933, 3039]","[5517, 6999, 5413, 6673, 3039, 6092, 3039, 6577, 5777, 1161, 1365, 1010, 3296, 1785, 8759, 9933, 6183, 9571, 1333, 3745, 5413, 3745, 6092, 5777, 8759, 6999, 1161, 5517, 3296, 1333, 1010, 6183, 6577, 1365, 6673, 9571, 1785, 9933, 2570]",2570,"[1161, 5517, 5777, 6673, 3745, 5413, 6183, 6577, 1333, 8759, 6092, 9933, 1365, 6999, 3039, 3296, 9571, 1010, 1785]"
"[5551, 9525, 6998, 5230, 9346, 5568, 4052, 3734, 2467, 4719, 5236, 1793, 5637, 6675, 2003, 6010, 4566, 9892, 8624, 7160, 5551, 9525, 6998, 5230, 9346, 5568, 4052, 3734, 2467, 4719, 5236, 1793, 5637, 6675, 2003, 6010, 4566, 9892, 8624]","[5551, 4719, 6998, 4566, 5236, 2467, 6010, 5230, 5568, 8624, 2003, 3734, 5637, 9346, 1793, 9525, 9892, 4052, 5637, 6675, 5551, 9525, 6998, 5230, 9346, 5568, 4052, 3734, 2467, 4719, 5236, 1793, 5637, 6675, 2003, 6010, 4566, 9892, 7160]",7160,"[1793, 9346, 5637, 6675, 3734, 2467, 9892, 5551, 8624, 9525, 5568, 2003, 4052, 6998, 4566, 5230, 4719, 5236, 6010]"
"[3922, 3439, 6417, 2255, 4586, 7418, 6079, 1428, 3970, 3096, 5816, 1532, 5963, 8828, 6036, 3217, 4703, 6247, 3361, 6432, 3922, 3439, 6417, 2255, 4586, 7418, 6079, 1428, 3970, 3096, 5816, 1532, 5963, 8828, 6036, 3217, 4703, 6247, 3361]","[5816, 3970, 3439, 6036, 4703, 3922, 6417, 3361, 6247, 3217, 1428, 7418, 5963, 8828, 1532, 6079, 3096, 3922, 2255, 4586, 3922, 3439, 6417, 2255, 4586, 7418, 6079, 1428, 3970, 3096, 5816, 1532, 5963, 8828, 6036, 3217, 4703, 6247, 6432]",6432,"[3970, 6417, 3217, 1428, 6036, 3096, 1532, 3361, 5816, 6079, 5963, 2255, 3922, 4703, 6247, 4586, 3439, 7418, 8828]"
"[7551, 1212, 3000, 9462, 1502, 7488, 4391, 3985, 9540, 3245, 2019, 5695, 8431, 5855, 2789, 8217, 1771, 3499, 7788, 1607, 7551, 1212, 3000, 9462, 1502, 7488, 4391, 3985, 9540, 3245, 2019, 5695, 8431, 5855, 2789, 8217, 1771, 3499, 7788]","[1771, 5695, 1212, 3000, 7788, 2019, 4391, 3499, 8217, 5855, 7488, 7551, 1502, 8431, 2789, 3245, 2789, 9540, 3985, 9462, 7551, 1212, 3000, 9462, 1502, 7488, 4391, 3985, 9540, 3245, 2019, 5695, 8431, 5855, 2789, 8217, 1771, 3499, 1607]",1607,"[3985, 8217, 4391, 3499, 3245, 3000, 1212, 5695, 7488, 9540, 1502, 5855, 2019, 2789, 1771, 7788, 8431, 9462, 7551]"
"[4734, 2830, 9711, 3825, 2690, 5815, 9637, 5552, 7596, 5752, 9796, 9688, 2010, 7108, 9157, 5490, 9501, 8371, 3634, 1837, 4734, 2830, 9711, 3825, 2690, 5815, 9637, 5552, 7596, 5752, 9796, 9688, 2010, 7108, 9157, 5490, 9501, 8371, 3634]","[5815, 9796, 5490, 2690, 2830, 5815, 3634, 9501, 8371, 3825, 7108, 9637, 9157, 2010, 9711, 4734, 5752, 7596, 5552, 9688, 4734, 2830, 9711, 3825, 2690, 5815, 9637, 5552, 7596, 5752, 9796, 9688, 2010, 7108, 9157, 5490, 9501, 8371, 1837]",1837,"[2690, 2830, 9501, 9637, 7596, 5552, 3634, 8371, 5815, 9796, 7108, 9157, 9688, 2010, 9711, 3825, 5490, 5752, 4734]"
"[8645, 1820, 5501, 5513, 2680, 4302, 9509, 1249, 5698, 3969, 6086, 9769, 1659, 7862, 2763, 4878, 3912, 2173, 1224, 5542, 8645, 1820, 5501, 5513, 2680, 4302, 9509, 1249, 5698, 3969, 6086, 9769, 1659, 7862, 2763, 4878, 3912, 2173, 1224]","[8645, 9509, 1820, 9769, 7862, 1820, 3912, 4302, 5501, 6086, 1249, 2173, 2680, 4878, 1224, 1659, 2763, 3969, 5513, 5698, 8645, 1820, 5501, 5513, 2680, 4302, 9509, 1249, 5698, 3969, 6086, 9769, 1659, 7862, 2763, 4878, 3912, 2173, 5542]",5542,"[3969, 5513, 4878, 1820, 5501, 9509, 9769, 7862, 5698, 8645, 6086, 3912, 1224, 2763, 4302, 1249, 2680, 1659, 2173]"
"[7348, 5564, 2468, 2985, 7192, 5927, 3120, 8987, 8292, 4649, 5974, 7963, 1030, 5941, 8855, 4944, 1836, 4046, 1407, 2850, 7348, 5564, 2468, 2985, 7192, 5927, 3120, 8987, 8292, 4649, 5974, 7963, 1030, 5941, 8855, 4944, 1836, 4046, 1407]","[1030, 1836, 8987, 8855, 4046, 5927, 5941, 8292, 1407, 2985, 4649, 5927, 3120, 7348, 5564, 4944, 7963, 2468, 7192, 5974, 7348, 5564, 2468, 2985, 7192, 5927, 3120, 8987, 8292, 4649, 5974, 7963, 1030, 5941, 8855, 4944, 1836, 4046, 2850]",2850,"[1030, 8855, 7192, 7963, 8987, 2468, 5927, 2985, 4649, 1836, 3120, 7348, 5941, 5564, 4046, 4944, 5974, 8292, 1407]"
"[6857, 5917, 8396, 8224, 1897, 1443, 5574, 2599, 1380, 6407, 4145, 9524, 3246, 3243, 3433, 4259, 4012, 6538, 7350, 9441, 6857, 5917, 8396, 8224, 1897, 1443, 5574, 2599, 1380, 6407, 4145, 9524, 3246, 3243, 3433, 4259, 4012, 6538, 7350]","[4012, 5917, 2599, 4259, 3243, 9524, 3433, 1443, 6857, 3246, 6407, 4145, 6538, 1897, 4259, 8396, 5574, 1380, 7350, 8224, 6857, 5917, 8396, 8224, 1897, 1443, 5574, 2599, 1380, 6407, 4145, 9524, 3246, 3243, 3433, 4259, 4012, 6538, 9441]",9441,"[6407, 6538, 5917, 8224, 1443, 4259, 2599, 3243, 4012, 3246, 4145, 9524, 7350, 5574, 6857, 8396, 1380, 1897, 3433]"
"[5006, 3352, 2711, 8023, 3177, 5548, 2776, 2906, 9738, 2478, 3493, 1317, 8202, 1581, 9558, 3152, 6976, 3299, 3422, 5485, 5006, 3352, 2711, 8023, 3177, 5548, 2776, 2906, 9738, 2478, 3493, 1317, 8202, 1581, 9558, 3152, 6976, 3299, 3422]","[9738, 3152, 1317, 5548, 2711, 9558, 1581, 2776, 3422, 2906, 3299, 5006, 3352, 3177, 8023, 2478, 8202, 3493, 3152, 6976, 5006, 3352, 2711, 8023, 3177, 5548, 2776, 2906, 9738, 2478, 3493, 1317, 8202, 1581, 9558, 3152, 6976, 3299, 5485]",5485,"[9738, 8202, 5006, 2711, 3352, 3493, 1317, 5548, 1581, 2478, 6976, 3152, 9558, 8023, 2776, 2906, 3422, 3299, 3177]"
"[1794, 2733, 3644, 6246, 7942, 3421, 3998, 3260, 8043, 7381, 3594, 3836, 4544, 6228, 1312, 6240, 7751, 1517, 4063, 6746, 1794, 2733, 3644, 6246, 7942, 3421, 3998, 3260, 8043, 7381, 3594, 3836, 4544, 6228, 1312, 6240, 7751, 1517, 4063]","[3421, 7381, 3594, 3594, 4544, 6240, 1517, 4063, 7751, 6246, 1794, 1312, 2733, 8043, 3836, 3998, 3260, 3644, 7942, 6228, 1794, 2733, 3644, 6246, 7942, 3421, 3998, 3260, 8043, 7381, 3594, 3836, 4544, 6228, 1312, 6240, 7751, 1517, 6746]",6746,"[1794, 7942, 3594, 3998, 1312, 2733, 3260, 3644, 4544, 7751, 6228, 7381, 3421, 4063, 6240, 6246, 8043, 1517, 3836]"
